Order,Family,Genus,Species,Outcome_Binary,Outcome_Count,binom,AdultMass_g,SexMat_d,Gest_d,IBI_d,LitterSize,Litters_Yr,BirthWt_g,Wean_d,WeanWt_g,MaxLong_m
Rodentia,Muridae,Apodemus,agrarius,1,3,Apodemus agrarius,21.11,76.04,19.89,19.5,5.64,3.5,1.8,27,10.19393906,48
Rodentia,Muridae,Apodemus,argenteus,1,1,Apodemus argenteus,12.4,61,25.8392213,37.31293824,4.1,3.39208127,1.222479206,22.09382184,5.788974112,60
Rodentia,Muridae,Apodemus,flavicollis,1,3,Apodemus flavicollis,31.6,43.27,24.5,38.75,4.94,3,2.3,22,8.7,48
Rodentia,Muridae,Apodemus,peninsulae,1,1,Apodemus peninsulae,32.9,72.10240321,24.15798424,36.85153418,4.41,3.182242152,2,23.81325663,10.76899648,52.8
Rodentia,Muridae,Apodemus,ponticus,1,1,Apodemus ponticus,31.6,78.49225834,27.84694623,34.49780784,3.618513843,2.692845038,2.464927319,26.62208001,11.59686887,61.42496382
Rodentia,Muridae,Apodemus,speciosus,1,1,Apodemus speciosus,43.75,78.6311304,26.32851081,35.4999494,4.47,2.870195219,3.089122999,25.7208734,15.12255828,63.6
Rodentia,Muridae,Apodemus,sylvaticus,1,3,Apodemus sylvaticus,21.9,57.93,23.68,41.28,5.16,3.75,1.5,19.36,8.999023629,52.8
Rodentia,Cricetidae,Arvicola,amphibius,1,1,Arvicola amphibius,120,48.43,21.24,22,4.76,3.5,5.29,14,26.1702762,60
Erinaceomorpha,Erinaceidae,Atelerix,albiventris,1,1,Atelerix albiventris,293.44,116.45,35.99,365,3.98,1,8,59.27,99.47658451,136.8
Erinaceomorpha,Erinaceidae,Atelerix,algirus,1,1,Atelerix algirus,903.98,217.7200271,39.25,132.7190172,2.5,2,15.03769375,39.7,164.8452047,84
Artiodactyla,Bovidae,Bison,bison,1,1,Bison bison,624577.07,921.77,283.17,399,0.98,1,20000,287.32,157500,396
Soricomorpha,Soricidae,Blarina,brevicauda,1,1,Blarina brevicauda,18.56,71.19,20.58,54.93995678,5.39,3,0.89,21.91,11.81941486,33
Artiodactyla,Bovidae,Bos,taurus,1,30,Bos taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Artiodactyla,Bovidae,Bubalus,bubalis,1,3,Bubalus bubalis,929500.97,755.15,320,547.5,1.5,1,37500,240.31,150154.7673,339
Rodentia,Cricetidae,Calomys,callosus,1,2,Calomys callosus,44.95,43.18,21.8,21,4.91,3,2.4,18.33,12.05,37.12488422
Rodentia,Cricetidae,Calomys,musculinus,1,1,Calomys musculinus,20.2,76.03,20.97,22.00345984,6.27,3.211412947,1.983618496,21.66650035,10.96816561,30.25422288
Artiodactyla,Camelidae,Camelus,dromedarius,1,3,Camelus dromedarius,492714.47,1947.94,386.51,614.41,0.98,1,36751.19,389.38,253484,480
Carnivora,Canidae,Canis,aureus,1,1,Canis aureus,9658.7,371.23,61.24,365,3.74,1,211.82,61.3,1556.625476,192
Carnivora,Canidae,Canis,latrans,1,5,Canis latrans,11989.1,372.9,61.74,365,5.72,1,200.01,43.71,1517,262
Carnivora,Canidae,Canis,lupus,1,45,Canis lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Artiodactyla,Bovidae,Capra,hircus,1,14,Capra hircus,47386.47,498.97,156,365,1.45,1,2136.11,158.04,15163.69761,249.6
Artiodactyla,Bovidae,Capra,ibex,1,1,Capra ibex,69546.83,838.54,167.5,547.5,1.11,0.8,2779.07,111.75,15683.39,267.6
Artiodactyla,Bovidae,Capra,nubiana,1,1,Capra nubiana,47763.72,575.704896,150,293.0005203,1,1.158677188,3090.511038,112.3623149,13802.87769,204
Artiodactyla,Cervidae,Capreolus,capreolus,1,2,Capreolus capreolus,22502.01,400.97,196,365,1.79,1,1208.55,79.75,8692.5,204
Artiodactyla,Cervidae,Cervus,elaphus,1,2,Cervus elaphus,240867.13,659.91,235.61,380.8862211,1.09,0.9,8255.82,104.64,43977.2,321.6
Pilosa,Megalonychidae,Choloepus,didactylus,1,2,Choloepus didactylus,6646.5,1262.74,269.63,795.41,1,1,364,52.61,4252.836711,333.6
Artiodactyla,Bovidae,Connochaetes,gnou,1,2,Connochaetes gnou,156547.53,965.63,256.76,370.8950508,1,0.992920212,10941.45,111.57,37529.54431,240
Artiodactyla,Bovidae,Connochaetes,taurinus,1,1,Connochaetes taurinus,198619.68,841.82,251.49,365,0.98,1,18044.36,256.32,51051.33,258
Rodentia,Cuniculidae,Cuniculus,paca,1,4,Cuniculus paca,8172.55,335.48,116.24,191,1.01,1.75,674.77,82.75,1535.315426,192
Artiodactyla,Bovidae,Damaliscus,pygargus,1,1,Damaliscus pygargus,77784.55,620.76,240.54,365,1.41,1,6873.81,121.66,21189.56,260.04
Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,1,1,Dasyprocta fuliginosa,3500.02,371.9941534,106.807225,146.3294337,1.493533965,2.123167596,218.7333342,140,565.2150444,216
Rodentia,Dasyproctidae,Dasyprocta,leporina,1,2,Dasyprocta leporina,3009.99,193,106.39,125.0034538,1.4,2.355282208,201.1630204,140,581.337357,213.6
Rodentia,Dasyproctidae,Dasyprocta,punctata,1,2,Dasyprocta punctata,2309.12,487,107.65,127,1.25,2.107443961,227,140,486.9694602,120
Cingulata,Dasypodidae,Dasypus,novemcinctus,1,3,Dasypus novemcinctus,3949.01,511.16,134,365,3.96,1,96.48,136.87,693.6087088,180
Didelphimorphia,Didelphidae,Didelphis,albiventris,1,1,Didelphis albiventris,1030.47,315.68,12,266.87,6.9,1.5,0.132390007,116.5,78.44424428,20.4
Didelphimorphia,Didelphidae,Didelphis,marsupialis,1,2,Didelphis marsupialis,1134.75,200.88,14,110,7.09,2,0.16,92.47,95.91,32.4
Didelphimorphia,Didelphidae,Didelphis,virginiana,1,1,Didelphis virginiana,2442.08,225.55,12.69,136.87,8.62,2,0.15,109.62,125,60
Rodentia,Gliridae,Eliomys,quercinus,1,1,Eliomys quercinus,114.61,566.36,22.97,365,4.99,1,4.362851812,34.8,53.38052554,66
Chiroptera,Pteropodidae,Epomops,franqueti,1,1,Epomops franqueti,118.99,290.4639096,161.77,198.1046623,1,2,20,101.3327446,70,118.2170942
Perissodactyla,Equidae,Equus,caballus,1,6,Equus caballus,403598.53,834.72,338.97,547.5,1,1,37899.99,341.76,176266.0538,744
Perissodactyla,Equidae,Equus,quagga,1,1,Equus quagga,4.00E+05,900,365,556,1,0.6,32000,395,205000,240
Perissodactyla,Equidae,Equus,zebra,1,1,Equus zebra,282462.13,963.17,363.49,653.95,1,0.35,29496.68,181.46,117097.78,288
Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,1,1,Erinaceus europaeus,777.95,265.8,36.98,170.2637748,4.64,1.5,15.54,40,235,168
Artiodactyla,Bovidae,Eudorcas,thomsonii,1,1,Eudorcas thomsonii,22907.43,418.38,166.14,193.9,1,1.5,2500,93.25,7688.904791,182.04
Carnivora,Felidae,Felis,catus,1,37,Felis catus,2884.8,296.98,62.99,100,4,2,113,56,856.5147446,408
Rodentia,Muridae,Gerbillus,pyramidum,1,1,Gerbillus pyramidum,42.8,78.15,22.14,39.34877227,3.3,5,2.5,27.5,14.83,98.4
Rodentia,Sciuridae,Glaucomys,volans,1,1,Glaucomys volans,71.9,335.63,39.49,116.75,3.13,2,3.61,57.23,46.2,144
Hyracoidea,Procaviidae,Heterohyrax,brucei,1,1,Heterohyrax brucei,2453.66,510.44,228.12,365,1.89,1,225,129.04,733.0980596,168
Rodentia,Caviidae,Hydrochoerus,hydrochaeris,1,1,Hydrochoerus hydrochaeris,48144.91,566.36,150.73,245,3.49,1,1500,109.75,8299,144
Chiroptera,Pteropodidae,Hypsignathus,monstrosus,1,1,Hypsignathus monstrosus,336.97,227.99,125.14,172.0114792,1.4,2,39.3,81.12259795,163.92,147.2554903
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,1,1,Kobus ellipsiprymnus,204393.48,1426.44,270,365,1,1,12000,212.91,57494.30481,239.04
Chiroptera,Vespertilionidae,Lasiurus,borealis,1,1,Lasiurus borealis,12.33,214.3285698,84.21,365,3.12,1,4.29,38,5.84,63.97830259
Chiroptera,Vespertilionidae,Lasiurus,cinereus,1,1,Lasiurus cinereus,27.06,235.8817999,57.18,365,1.96,1,5.12,36.41,9.71,25.2
Chiroptera,Vespertilionidae,Lasiurus,ega,1,1,Lasiurus ega,12.2,377.37,96.22,365,2.14,1,2.173489964,42.50794848,6.534701542,131.1411786
Carnivora,Felidae,Leopardus,colocolo,1,1,Leopardus colocolo,2950,597.3407823,70.90174926,192.4778006,2.5,1.635628035,99.82541168,72.87727133,992.7075633,235.2
Carnivora,Felidae,Leopardus,geoffroyi,1,1,Leopardus geoffroyi,4000,479,75,240,2,1.3,93.2,68,1012.140923,276
Carnivora,Felidae,Leopardus,pardalis,1,1,Leopardus pardalis,11880,678.64,81.99,360.9,1.66,1,250,106.18,3400,243.6
Lagomorpha,Leporidae,Lepus,americanus,1,1,Lepus americanus,1568.42,210.95,36.57,37,3.54,2.5,67.84,22.98,440.9,96
Lagomorpha,Leporidae,Lepus,californicus,1,1,Lepus californicus,2422.48,263.07,41.77,54.38576162,2.68,4.05,84.93,19.85,1838.74,81.6
Lagomorpha,Leporidae,Lepus,europaeus,1,1,Lepus europaeus,3816.43,210.95,41.99,47.46637824,2.14,4.4,123,29,390,144
Lagomorpha,Leporidae,Lepus,timidus,1,2,Lepus timidus,3105.42,266,50.1,50,3.16,3,113.49,23,492,216
