,Host,populationTrend
184,Eupetaurus cinereus,Unknown
185,Gerbillus maghrebi,Unknown
186,Gerbillus floweri,Stable
187,Gerbillus perpallidus,Stable
188,Glischropus tylopus,Unknown
189,Haeromys minahassae,Decreasing
190,Hapalomys delacouri,Decreasing
191,Nilgiritragus hylocrius,Decreasing
192,Hesperoptenus gaskelli,Unknown
193,Allactaga vinogradovi,Decreasing
194,Urocyon littoralis,Increasing
195,Aonyx congicus,Decreasing
196,Hypogeomys antimena,Unknown
197,Ursus maritimus,Unknown
198,Carterodon sulcidens,Unknown
199,Microcebus myoxinus,Decreasing
200,Vulpes pallida,Unknown
201,Microcebus gerpi,Decreasing
202,Aotus zonalis,Unknown
203,Aotus lemurinus,Decreasing
204,Aotus brumbacki,Decreasing
205,Alouatta sara,Decreasing
206,Alouatta pigra,Decreasing
207,Ateles hybridus,Decreasing
208,Leontocebus tripartitus,Decreasing
209,Leontocebus nigricollis,Decreasing
210,Mico leucippe,Decreasing
211,Mico intermedius,Decreasing
212,Mico nigriceps,Decreasing
213,Leontopithecus chrysopygus,Decreasing
214,Saimiri vanzolinii,Decreasing
215,Saimiri oerstedii,Decreasing
216,Erythrocebus patas,Decreasing
217,Pygathrix nemaeus,Decreasing
218,Pygathrix cinerea,Decreasing
219,Theropithecus gelada,Decreasing
220,Semnopithecus entellus,Decreasing
221,Semnopithecus hypoleucos,Decreasing
222,Semnopithecus hector,Decreasing
223,Semnopithecus schistaceus,Decreasing
224,Semnopithecus priam,Decreasing
225,Semnopithecus ajax,Decreasing
226,Rhinopithecus strykeri,Decreasing
227,Rhinopithecus bieti,Stable
228,Rhinopithecus avunculus,Decreasing
229,Colobus satanas,Decreasing
230,Colobus guereza,Decreasing
231,Colobus polykomos,Decreasing
232,Colobus angolensis,Decreasing
233,Cercopithecus petaurista,Decreasing
234,Cercopithecus sclateri,Decreasing
235,Cercopithecus erythrotis,Decreasing
236,Cercopithecus erythrogaster,Decreasing
237,Cercopithecus mona,Decreasing
238,Cercopithecus neglectus,Unknown
239,Cercopithecus ascanius,Decreasing
240,Cercopithecus dryas,Unknown
241,Macaca tonkeana,Decreasing
242,Macaca thibetana,Decreasing
243,Macaca nigrescens,Decreasing
244,Macaca munzala,Decreasing
245,Macaca hecki,Decreasing
246,Macaca siberu,Decreasing
247,Macaca cyclopis,Stable
248,Macaca pagensis,Decreasing
249,Macaca assamensis,Decreasing
250,Macaca nigra,Decreasing
251,Macaca mulatta,Unknown
252,Macaca maura,Decreasing
253,Macaca sinica,Decreasing
254,Macaca silenus,Decreasing
255,Macaca radiata,Decreasing
256,Mandrillus sphinx,Decreasing
257,Mandrillus leucophaeus,Decreasing
258,Papio hamadryas,Increasing
259,Papio anubis,Stable
260,Simias concolor,Decreasing
261,Miopithecus ogouensis,Decreasing
262,Presbytis siamensis,Decreasing
263,Presbytis rubicunda,Decreasing
264,Presbytis thomasi,Decreasing
265,Presbytis melalophos,Decreasing
266,Presbytis potenziani,Decreasing
267,Presbytis frontata,Decreasing
268,Presbytis femoralis,Decreasing
269,Presbytis comata,Decreasing
270,Presbytis chrysomelas,Decreasing
271,Presbytis natunae,Decreasing
272,Cercocebus sanjei,Decreasing
273,Cercocebus chrysogaster,Decreasing
274,Cercocebus galeritus,Decreasing
275,Chlorocebus cynosuros,Stable
276,Chlorocebus aethiops,Stable
277,Chlorocebus pygerythrus,Decreasing
278,Chlorocebus djamdjamensis,Decreasing
279,Chlorocebus sabaeus,Decreasing
280,Chlorocebus tantalus,Stable
281,Semnopithecus johnii,Stable
282,Trachypithecus francoisi,Decreasing
283,Trachypithecus delacouri,Decreasing
284,Trachypithecus laotum,Decreasing
285,Semnopithecus vetulus,Decreasing
286,Trachypithecus poliocephalus,Increasing
287,Trachypithecus cristatus,Decreasing
288,Trachypithecus barbei,Decreasing
289,Trachypithecus obscurus,Decreasing
290,Trachypithecus phayrei,Decreasing
291,Trachypithecus geei,Decreasing
292,Trachypithecus shortridgei,Decreasing
293,Rungwecebus kipunji,Decreasing
