,Host,populationTrend
1504,Molossops temminckii,Unknown
1505,Cynomops planirostris,Unknown
1506,Glossophaga commissarisi,Stable
1507,Molossops neglectus,Unknown
1508,Molossops mattogrossensis,Unknown
1509,Cynomops greenhalli,Unknown
1510,Molossops aequatorianus,Unknown
1511,Cynomops abrasus,Unknown
1512,Taphozous troughtoni,Decreasing
1513,Taphozous theobaldi,Unknown
1514,Taphozous nudiventris,Stable
1515,Taphozous melanopogon,Stable
1516,Taphozous kapalgensis,Unknown
1517,Taphozous hilli,Stable
1518,Taphozous mauritianus,Unknown
1519,Taphozous longimanus,Stable
1520,Taphozous achates,Unknown
1521,Taphozous georgianus,Stable
1522,Taphozous hamiltoni,Unknown
1523,Taphozous hildegardeae,Decreasing
1524,Taphozous australis,Decreasing
1525,Monophyllus redmani,Stable
1526,Monophyllus plethodon,Unknown
1527,Otomops johnstonei,Unknown
1528,Otomops formosus,Unknown
1529,Otomops wroughtoni,Unknown
1530,Cynopterus horsfieldii,Unknown
1531,Cynopterus brachyotis,Unknown
1532,Cynopterus sphinx,Increasing
1533,Cynopterus nusatenggara,Stable
1534,Cynopterus titthaecheilus,Stable
1535,Pharotis imogene,Stable
1536,Vespadelus darlingtoni,Stable
1537,Vespadelus caurinus,Stable
1538,Eptesicus brasiliensis,Unknown
1539,Eptesicus bottae,Stable
1540,Eptesicus bobrinskoi,Unknown
1541,Vespadelus baverstocki,Stable
1542,Tadarida teniotis,Unknown
1543,Eptesicus andinus,Unknown
1544,Tadarida aegyptiaca,Unknown
1545,Eptesicus nilssonii,Stable
1546,Epomops dobsonii,Stable
1547,Epomops buettikoferi,Decreasing
1548,Epomophorus wahlbergi,Stable
1549,Epomophorus minimus,Stable
1550,Rhyneptesicus nasutus,Unknown
1551,Eptesicus pachyotis,Unknown
1552,Eptesicus kobayashii,Unknown
1553,Philetor brachypterus,Stable
1554,Eptesicus hottentotus,Unknown
1555,Eptesicus guadeloupensis,Unknown
1556,Eptesicus furinalis,Unknown
1557,Eptesicus fuscus,Increasing
1558,Eptesicus floweri,Stable
1559,Vespadelus douglasorum,Unknown
1560,Eptesicus dimissus,Unknown
1561,Otonycteris hemprichii,Unknown
1562,Vespadelus vulturnus,Decreasing
1563,Lasiurus seminolus,Unknown
1564,Lasiurus ega,Unknown
1565,Eptesicus tatei,Unknown
1566,Lasiurus ebenus,Unknown
1567,Vespadelus troughtoni,Stable
1568,Lasiurus egregius,Unknown
1569,Otomops secundus,Unknown
1570,Lasiurus blossevillii,Unknown
1571,Vespadelus pumilus,Stable
1572,Lasiurus cinereus,Unknown
1573,Eptesicus platyops,Unknown
1574,Otomops papuensis,Unknown
1575,Lasiurus castaneus,Unknown
1576,Lasiurus borealis,Stable
1577,Vespadelus regulus,Stable
1578,Tadarida ventralis,Unknown
1579,Tadarida lobata,Unknown
1580,Tadarida brasiliensis,Stable
1581,Austronomus australis,Decreasing
1582,Tadarida fulminans,Stable
1583,Lasionycteris noctivagans,Stable
1584,Otopteropus cartilagonodus,Decreasing
1585,Epomophorus labiatus,Stable
1586,Epomophorus gambianus,Unknown
1587,Epomophorus grandis,Unknown
1588,Epomophorus angolensis,Decreasing
1589,Pipistrellus westralis,Stable
1590,Pipistrellus sturdeei,
1591,Neonycteris pusilla,Decreasing
1592,Trinycteris nicefori,Unknown
1593,Perimyotis subflavus,Decreasing
1594,Falsistrellus tasmaniensis,Decreasing
1595,Glyphonycteris sylvestris,Unknown
1596,Micronycteris schmidtorum,Stable
1597,Pipistrellus rueppellii,Unknown
1598,Micronycteris hirsuta,Unknown
1599,Pipistrellus rusticus,Unknown
1600,Glyphonycteris daviesi,Unknown
1601,Micronycteris minuta,Unknown
1602,Micronycteris megalotis,Unknown
1603,Pipistrellus stenopterus,Unknown
1604,Pipistrellus permixtus,Unknown
1605,Syconycteris carolinae,Decreasing
1606,Hypsugo pulveratus,Unknown
1607,Falsistrellus petersi,Unknown
1608,Syconycteris hobbit,Decreasing
1609,Leptonycteris nivalis,Decreasing
1610,Micropteropus intermedius,Unknown
1611,Pipistrellus nanulus,Unknown
1612,Pipistrellus paterculus,Unknown
1613,Leptonycteris curasoae,Decreasing
1614,Pipistrellus papuanus,Stable
1615,Pipistrellus minahassae,Unknown
1616,Hypsugo macrotis,Unknown
1617,Falsistrellus mordax,Unknown
1618,Hypsugo kitcheneri,Unknown
1619,Hypsugo vordermanni,Unknown
1620,Hypsugo joffrei,Unknown
1621,Eonycteris major,Unknown
1622,Falsistrellus mackenziei,Decreasing
1623,Eonycteris spelaea,Decreasing
1624,Hypsugo lophurus,Unknown
1625,Pipistrellus inexspectatus,Unknown
1626,Pipistrellus javanicus,Stable
1627,Antrozous pallidus,Stable
1628,Parastrellus hesperus,Stable
1629,Bauerus dubiaquercus,Unknown
1630,Pipistrellus endoi,Decreasing
1631,Scotozous dormeri,Stable
1632,Pipistrellus coromandra,Unknown
1633,Pipistrellus collinus,Stable
1634,Hypsugo cadornae,Unknown
1635,Pipistrellus ceylonicus,Stable
1636,Syconycteris australis,Stable
1637,Glyphonycteris behnii,Unknown
1638,Hypsugo arabicus,Unknown
1639,Hypsugo anthonyi,Unknown
1640,Lampronycteris brachyotis,Stable
1641,Pipistrellus angulatus,Stable
1642,Hypsugo affinis,Unknown
1643,Pipistrellus aero,Unknown
1644,Pipistrellus adamsi,Stable
1645,Pipistrellus abramus,Stable
1646,Pipistrellus nathusii,Unknown
1647,Pipistrellus kuhlii,Unknown
1648,Phyllonycteris aphylla,Decreasing
1649,Phyllops falcatus,Stable
1650,Phyllonycteris poeyi,Unknown
1651,Carollia perspicillata,Stable
1652,Carollia subrufa,Stable
1653,Phylloderma stenops,Stable
1654,Arielulus societatis,Decreasing
1655,Arielulus cuprosus,Unknown
1656,Carollia brevicauda,Stable
1657,Emballonura dianae,Unknown
1658,Emballonura monticola,Stable
1659,Emballonura semicaudata,Decreasing
1660,Emballonura alecto,Decreasing
1661,Paremballonura atrata,Unknown
1662,Emballonura beccarii,Unknown
1663,Emballonura furax,Stable
1664,Emballonura raffrayana,Unknown
1665,Phyllostomus elongatus,Unknown
1666,Phyllostomus hastatus,Stable
1667,Phyllostomus latifolius,Unknown
1668,Aproteles bulmerae,Decreasing
1669,Cardioderma cor,Unknown
1670,Phyllostomus discolor,Stable
1671,Haplonycteris fischeri,Stable
1672,Capra nubiana,Decreasing
1673,Capra caucasica,Decreasing
1674,Capra aegagrus,Stable
1675,Ovis ammon,Decreasing
1676,Ovis canadensis,Stable
1677,Ovis gmelini,Unknown
1678,Capra sibirica,Decreasing
1679,Ovis dalli,Stable
1680,Naemorhedus caudatus,Decreasing
1681,Capricornis crispus,Stable
1682,Hemitragus jemlahicus,Decreasing
1683,Oreamnos americanus,Stable
1684,Muntiacus vuquangensis,Decreasing
1685,Muntiacus truongsonensis,Decreasing
1686,Mazama pandora,Decreasing
1687,Mazama nana,Unknown
1688,Mazama gouazoubira,Decreasing
1689,Mazama americana,Unknown
1690,Mazama bororo,Decreasing
1691,Cervus nippon,Increasing
1692,Axis calamianensis,Decreasing
1693,Rusa timorensis,Decreasing
1694,Alces alces,Increasing
1695,Axis porcinus,Decreasing
1696,Axis axis,Unknown
1697,Mazama nemorivaga,Decreasing
1698,Hippocamelus antisensis,Decreasing
1699,Hippocamelus bisulcus,Decreasing
1700,Muntiacus putaoensis,Decreasing
1701,Elaphodus cephalophus,Decreasing
1702,Elaphurus davidianus,
1703,Ozotoceros bezoarticus,Decreasing
1704,Muntiacus feae,Unknown
1705,Muntiacus rooseveltorum,Decreasing
1706,Muntiacus gongshanensis,Decreasing
1707,Muntiacus crinifrons,Decreasing
1708,Blastocerus dichotomus,Decreasing
1709,Capreolus capreolus,Increasing
1710,Capreolus pygargus,Decreasing
1711,Odocoileus hemionus,Stable
1712,Odocoileus virginianus,Stable
1713,Hydropotes inermis,Decreasing
1714,Pudu mephistophiles,Decreasing
1715,Pudu puda,Decreasing
1716,Mazama temama,Decreasing
1717,Muntiacus puhoatensis,Unknown
1718,Mazama bricenii,Decreasing
1719,Muntiacus vaginalis,Decreasing
1720,Mazama rufina,Decreasing
1721,Mazama chunyi,Decreasing
1722,Muntiacus atherodes,Decreasing
1723,Rucervus eldii,Decreasing
1724,Rangifer tarandus,Decreasing
1725,Rucervus duvaucelii,Decreasing
1726,Muntiacus montanus,Unknown
1727,Rusa marianna,Decreasing
1728,Rusa alfredi,Decreasing
1729,Gracilinanus aceramarcae,Unknown
1730,Gracilinanus dryas,Decreasing
1731,Gracilinanus agilis,Unknown
1732,Gracilinanus marica,Decreasing
1733,Monodelphis reigi,Unknown
1734,Monodelphis emiliae,Unknown
1735,Monodelphis dimidiata,Stable
1736,Monodelphis kunsi,Stable
1737,Monodelphis adusta,Stable
1738,Monodelphis osgoodi,Unknown
1739,Monodelphis brevicaudata,Unknown
1740,Monodelphis unistriata,Unknown
1741,Monodelphis ronaldi,Stable
1742,Monodelphis palliolata,Decreasing
1743,Thylamys venustus,Unknown
1744,Thylamys elegans,Stable
1745,Thylamys pulchellus,Unknown
1746,Thylamys pusillus,Decreasing
1747,Thylamys fenestrae,Decreasing
1748,Thylamys citellus,Stable
1749,Thylamys tatei,Unknown
1750,Thylamys cinderella,Unknown
1751,Thylamys macrurus,Decreasing
1752,Chironectes minimus,Decreasing
1753,Marmosa alstoni,Stable
1754,Marmosa mexicana,Stable
1755,Marmosa quichua,Decreasing
1756,Marmosa lepida,Stable
1757,Marmosa robinsoni,Stable
1758,Marmosa tyleriana,Unknown
1759,Marmosa rubra,Unknown
1760,Marmosa andersoni,Unknown
1761,Marmosa constantiae,Unknown
1762,Marmosa phaea,Decreasing
1763,Lutreolina crassicaudata,Unknown
1764,Chacodelphys formosa,Decreasing
1765,Caluromys derbianus,Decreasing
1766,Didelphis virginiana,Increasing
1767,Didelphis imperfecta,Stable
1768,Didelphis pernigra,Stable
1769,Philander opossum,Stable
1770,Philander mondolfii,Unknown
1771,Philander frenatus,Unknown
1772,Philander olrogi,Unknown
1773,Philander deltae,Unknown
1774,Tlacuatzin canescens,Stable
1775,Cryptonanus ignitus,
1776,Cryptonanus chacoensis,Stable
1777,Marmosops creightoni,Unknown
1778,Marmosops bishopi,Unknown
1779,Marmosops juninensis,Decreasing
1780,Marmosops pinheiroi,Unknown
1781,Marmosops ocellatus,Stable
1782,Marmosops impavidus,Stable
1783,Marmosops cracens,Unknown
1784,Marmosops fuscatus,Decreasing
1785,Marmosops handleyi,Decreasing
1786,Glironia venusta,Unknown
1787,Lestoros inca,Unknown
1788,Caenolestes convelatus,Decreasing
1789,Caenolestes fuliginosus,Unknown
1790,Caenolestes caniventer,Decreasing
1791,Caenolestes condorensis,Unknown
1792,Dromiciops gliroides,Decreasing
1793,Cuscomys oblativa,Unknown
1794,Cuscomys ashaninka,Unknown
1795,Abrocoma vaccarum,Unknown
1796,Abrocoma boliviensis,Decreasing
1797,Abrocoma bennettii,Unknown
1798,Abrocoma shistacea,Unknown
1799,Abrocoma famatina,Unknown
1800,Abrocoma cinerea,Stable
1801,Abrocoma budini,Unknown
1802,Abrocoma uspallata,Unknown
1803,Anomalurus beecrofti,Unknown
1804,Anomalurus pusillus,Unknown
1805,Zenkerella insignis,Unknown
1806,Idiurus zenkeri,Unknown
1807,Idiurus macrotis,Unknown
1808,Fukomys bocagei,Unknown
1809,Fukomys zechi,Stable
1810,Fukomys anselli,Decreasing
1811,Fukomys ochraceocinereus,Unknown
1812,Fukomys darlingi,Stable
1813,Fukomys foxi,Unknown
1814,Fukomys damarensis,Stable
1815,Fukomys mechowii,Stable
1816,Bathyergus janetta,Unknown
1817,Calomyscus mystax,Stable
1818,Calomyscus urartensis,Unknown
1819,Mesocapromys auritus,Unknown
1820,Mesocapromys angelcabrerai,Unknown
1821,Mesocapromys sanfelipensis,Unknown
1822,Geocapromys brownii,Decreasing
1823,Geocapromys ingrahami,Stable
1824,Geocapromys thoracatus,
1825,Geocapromys columbianus,
1826,Isolobodon portoricensis,
1827,Isolobodon montanus,
1828,Hexolobodon phenax,
1829,Mysateles melanurus,Decreasing
1830,Plagiodontia ipnaeum,
1831,Castor canadensis,Stable
1832,Cavia magna,Stable
1833,Cavia fulgida,Stable
1834,Cavia tschudii,Stable
1835,Cavia intermedia,Decreasing
1836,Cavia aperea,Stable
1837,Galea spixii,Stable
1838,Galea flavidens,Unknown
1839,Galea musteloides,Unknown
1840,Microcavia shiptoni,Unknown
1841,Microcavia niata,Stable
1842,Microcavia australis,Unknown
1843,Hydrochoerus isthmius,Unknown
1844,Hydrochoerus hydrochaeris,Stable
1845,Kerodon acrobata,Unknown
1846,Kerodon rupestris,Stable
1847,Dolichotis patagonum,Decreasing
1848,Dolichotis salinicola,Stable
1849,Lagidium viscacia,Stable
1850,Chinchilla chinchilla,Decreasing
1851,Felovia vae,Unknown
1852,Massoutiera mzabi,Unknown
1853,Ctenomys argentinus,Decreasing
1854,Ctenomys azarae,Decreasing
1855,Ctenomys bonettoi,Decreasing
1856,Ctenomys dorbignyi,Decreasing
1857,Ctenomys brasiliensis,Unknown
1858,Ctenomys colburni,Unknown
1859,Ctenomys conoveri,Stable
1860,Ctenomys dorsalis,Unknown
1861,Ctenomys emilianus,Decreasing
1862,Ctenomys fulvus,Unknown
1863,Ctenomys roigi,Decreasing
1864,Ctenomys fochi,Unknown
1865,Ctenomys haigi,Unknown
1866,Ctenomys knighti,Unknown
1867,Ctenomys rionegrensis,Decreasing
1868,Ctenomys leucodon,Stable
1869,Ctenomys latro,Decreasing
1870,Ctenomys magellanicus,Decreasing
1871,Ctenomys lewisi,Stable
1872,Ctenomys maulinus,Unknown
1873,Ctenomys pundti,Decreasing
1874,Ctenomys minutus,Stable
1875,Ctenomys opimus,Stable
1876,Ctenomys occultus,Decreasing
1877,Ctenomys perrensi,Stable
1878,Ctenomys pearsoni,Decreasing
1879,Ctenomys pontifex,Unknown
1880,Ctenomys peruanus,Stable
1881,Ctenomys saltarius,Unknown
1882,Ctenomys porteousi,Unknown
1883,Ctenomys steinbachi,Stable
1884,Ctenomys osvaldoreigi,Decreasing
1885,Ctenomys talarum,Unknown
1886,Ctenomys sericeus,Unknown
1887,Ctenomys sociabilis,Decreasing
1888,Ctenomys tucumanus,Unknown
1889,Ctenomys validus,Unknown
1890,Ctenomys tuconax,Unknown
1891,Ctenomys johannis,Unknown
1892,Ctenomys viperinus,Unknown
1893,Ctenomys pilarensis,Decreasing
1894,Ctenomys coyhaiquensis,Unknown
1895,Ctenomys scagliai,Unknown
1896,Ctenomys lami,Decreasing
1897,Ctenomys coludo,Unknown
1898,Ctenomys juris,Unknown
1899,Ctenomys bergi,Decreasing
1900,Ctenomys yolandae,Unknown
1901,Ctenomys fodax,Unknown
1902,Ctenomys goodfellowi,Unknown
1903,Ctenomys flamarioni,Decreasing
1904,Ctenomys famosus,Unknown
1905,Ctenomys tulduco,Unknown
1906,Cuniculus paca,Stable
1907,Cuniculus taczanowskii,Decreasing
1908,Dasyprocta kalinowskii,Unknown
1909,Dasyprocta leporina,Stable
1910,Dasyprocta fuliginosa,Stable
1911,Dasyprocta guamara,Decreasing
1912,Dasyprocta ruatanica,Decreasing
1913,Dasyprocta prymnolopha,Unknown
1914,Dasyprocta coibae,Unknown
1915,Dasyprocta azarae,Decreasing
1916,Myoprocta pratti,Stable
1917,Myoprocta acouchy,Unknown
1918,Laonastes aenigmamus,Decreasing
1919,Dinomys branickii,Unknown
1920,Eremodipus lichtensteini,Unknown
1921,Salpingotulus michaelis,Unknown
1922,Stylodipus andrewsi,Unknown
1923,Stylodipus sungorus,Decreasing
1924,Stylodipus telum,Decreasing
1925,Eozapus setchuanus,Unknown
1926,Salpingotus crassicauda,Unknown
1927,Allactaga tetradactyla,Unknown
1928,Allactaga balikunica,Unknown
1929,Allactaga euphratica,Decreasing
1930,Allactaga firouzi,Unknown
1931,Cardiocranius paradoxus,Unknown
1932,Sicista pseudonapaea,Unknown
1933,Sicista tianshanica,Unknown
1934,Sicista kluchorica,Unknown
1935,Sicista kazbegica,Unknown
1936,Sicista caudata,Unknown
1937,Sicista armenica,Decreasing
1938,Sicista caucasica,Unknown
1939,Lonchothrix emiliae,Stable
1940,Diplomys labilis,Stable
1941,Diplomys caniceps,Unknown
1942,Clyomys laticeps,Unknown
1943,Kannabateomys amblyonyx,Unknown
1944,Brotomys voratus,
1945,Euryzygomatomys spinosus,Unknown
1946,Heteropsomys insulans,
1947,Boromys offella,
1948,Boromys torrei,
1949,Thrichomys inermis,Unknown
1950,Thrichomys apereoides,Unknown
1951,Thrichomys pachyurus,Unknown
1952,Olallamys albicauda,Unknown
1953,Olallamys edax,Unknown
1954,Makalata macrura,Unknown
1955,Toromys rhipidurus,Unknown
1956,Makalata didelphoides,Unknown
1957,Makalata obscura,Unknown
1958,Hoplomys gymnurus,Stable
1959,Echimys chrysurus,Stable
1960,Echimys saturnus,Unknown
1961,Echimys vieirai,Unknown
1962,Proechimys mincae,Unknown
1963,Proechimys longicaudatus,Unknown
1964,Proechimys echinothrix,Unknown
1965,Proechimys quadruplicatus,Stable
1966,Proechimys kulinae,Unknown
1967,Proechimys oconnelli,Unknown
1968,Proechimys roberti,Stable
1969,Proechimys simonsi,Unknown
1970,Proechimys steerei,Unknown
1971,Proechimys pattoni,Unknown
1972,Proechimys semispinosus,Stable
1973,Proechimys gardneri,Unknown
1974,Proechimys trinitatis,Unknown
1975,Proechimys canicollis,Stable
1976,Proechimys brevicauda,Unknown
1977,Proechimys decumanus,Decreasing
1978,Proechimys cuvieri,Unknown
1979,Proechimys chrysaeolus,Unknown
1980,Proechimys guyannensis,Unknown
1981,Proechimys guairae,Unknown
1982,Proechimys goeldii,Stable
1983,Proechimys hoplomyoides,Unknown
1984,Dactylomys peruanus,Unknown
1985,Dactylomys dactylinus,Stable
1986,Dactylomys boliviensis,Stable
1987,Phyllomys brasiliensis,Decreasing
1988,Phyllomys blainvillii,Unknown
1989,Phyllomys medius,Unknown
1990,Phyllomys dasythrix,Unknown
1991,Phyllomys lamarum,Unknown
1992,Phyllomys nigrispinus,Unknown
1993,Phyllomys kerri,Unknown
1994,Phyllomys pattoni,Unknown
1995,Phyllomys lundi,Decreasing
1996,Phyllomys unicolor,Decreasing
1997,Phyllomys thomasi,Decreasing
1998,Phyllomys mantiqueirensis,Decreasing
1999,Santamartamys rufodorsalis,Unknown
2000,Isothrix sinnamariensis,Unknown
2001,Isothrix pagurus,Unknown
2002,Isothrix bistriata,Unknown
2003,Isothrix barbarabrownae,Unknown
2004,Isothrix negrensis,Unknown
2005,Trinomys moojeni,Decreasing
2006,Trinomys albispinus,Unknown
2007,Trinomys eliasi,Decreasing
2008,Trinomys mirapitanga,Unknown
2009,Trinomys gratiosus,Unknown
2010,Trinomys paratus,Unknown
2011,Trinomys yonenagae,Decreasing
2012,Trinomys setosus,Unknown
2013,Trinomys dimidiatus,Unknown
2014,Trinomys iheringi,Stable
2015,Pattonomys occasius,Unknown
2016,Pattonomys semivillosus,Unknown
2017,Toromys grandis,Unknown
2018,Mesomys occultus,Unknown
2019,Mesomys hispidus,Unknown
2020,Mesomys leniceps,Unknown
2021,Mesomys stimulax,Unknown
2022,Erethizon dorsatum,Stable
2023,Coendou rufescens,Unknown
2024,Chaetomys subspinosus,Decreasing
2025,Coendou vestitus,Decreasing
2026,Coendou ichillus,Unknown
2027,Coendou insidiosus,Unknown
2028,Coendou pruinosus,Unknown
2029,Coendou melanurus,Unknown
2030,Coendou spinosus,Unknown
2031,Coendou roosmalenorum,Unknown
2032,Coendou mexicanus,Unknown
2033,Coendou nycthemera,Unknown
2034,Coendou bicolor,Unknown
2035,Coendou quichua,Decreasing
2036,Coendou prehensilis,Stable
2037,Orthogeomys cavator,Increasing
2038,Orthogeomys heterodus,Increasing
2039,Heterogeomys dariensis,Stable
2040,Orthogeomys cuniculus,Decreasing
2041,Orthogeomys underwoodi,Increasing
2042,Heterogeomys lanius,Decreasing
2043,Heterogeomys cherriei,Stable
2044,Thomomys idahoensis,Unknown
2045,Thomomys monticola,Stable
2046,Thomomys clusius,Unknown
2047,Thomomys bulbivorus,Stable
2048,Zygogeomys trichopus,Decreasing
2049,Cratogeomys goldmani,Stable
2050,Cratogeomys planiceps,Unknown
2051,Cratogeomys fumosus,Stable
2052,Cratogeomys merriami,Stable
2053,Cratogeomys fulvescens,Unknown
2054,Cratogeomys perotensis,Unknown
2055,Pappogeomys bulleri,Stable
2056,Geomys texensis,Unknown
2057,Geomys attwateri,Stable
2058,Geomys tropicalis,Decreasing
2059,Geomys knoxjonesi,Unknown
2060,Geomys personatus,Unknown
2061,Geomys arenarius,Unknown
2062,Graphiurus rupicola,Unknown
2063,Graphiurus microtis,Unknown
2064,Graphiurus monardi,Unknown
2065,Graphiurus angolensis,Unknown
2066,Myomimus setzeri,Unknown
2067,Myomimus personatus,Unknown
2068,Glirulus japonicus,Unknown
2069,Chaetocauda sichuanensis,Unknown
2070,Dryomys niethammeri,Unknown
2071,Heteromys oresterus,Stable
2072,Heteromys nelsoni,Decreasing
2073,Heteromys oasicus,Decreasing
2074,Heteromys gaumeri,Stable
2075,Heteromys teleus,Decreasing
2076,Heteromys anomalus,Unknown
2077,Perognathus alticola,Decreasing
2078,Perognathus inornatus,Unknown
2079,Perognathus amplus,Stable
2080,Heteromys adspersus,Stable
2081,Heteromys irroratus,Stable
2082,Heteromys pictus,Decreasing
2083,Heteromys salvini,Decreasing
2084,Heteromys spectabilis,Decreasing
2085,Chaetodipus rudinoris,Stable
2086,Chaetodipus pernix,Stable
2087,Chaetodipus lineatus,Unknown
2088,Chaetodipus goldmani,Decreasing
2089,Chaetodipus formosus,Stable
2090,Chaetodipus fallax,Unknown
2091,Chaetodipus ammophilus,Decreasing
2092,Dipodomys venustus,Decreasing
2093,Dipodomys ingens,Decreasing
2094,Dipodomys elator,Decreasing
2095,Dipodomys microps,Stable
2096,Dipodomys gravipes,Unknown
2097,Dipodomys heermanni,Unknown
2098,Dipodomys deserti,Stable
2099,Dipodomys nitratoides,Decreasing
2100,Dipodomys agilis,Decreasing
2101,Dipodomys stephensi,Decreasing
2102,Dipodomys nelsoni,Stable
2103,Dipodomys phillipsii,Stable
2104,Dipodomys spectabilis,Decreasing
2105,Hystrix pumila,Decreasing
2106,Hystrix sumatrae,Stable
2107,Hystrix javanica,Stable
2108,Hystrix crassispinis,Stable
2109,Hystrix cristata,Unknown
2110,Trichys fasciculata,Stable
2111,Monticolomys koopmani,Unknown
2112,Steatomys bocagei,Unknown
2113,Steatomys parvus,Stable
2114,Steatomys cuppedius,Stable
2115,Steatomys caurinus,Stable
2116,Steatomys opimus,Unknown
2117,Brachyuromys betsileoensis,Unknown
2118,Brachyuromys ramirohitra,Unknown
2119,Dendromus insignis,Stable
2120,Dendromus mesomelas,Stable
2121,Dendromus melanotis,Stable
2122,Dendromus lovati,Decreasing
2123,Dendromus kivu,Stable
2124,Petromyscus barbouri,Stable
2125,Petromyscus shortridgei,Stable
2126,Voalavo antsahabensis,Unknown
2127,Prionomys batesi,Unknown
2128,Macrotarsomys bastardi,Stable
2129,Brachytarsomys albicauda,Unknown
2130,Brachytarsomys villosa,Unknown
2131,Gymnuromys roberti,Unknown
2132,Mystromys albicaudatus,Decreasing
2133,Nesomys audeberti,Decreasing
2134,Nesomys rufus,Unknown
2135,Megadendromus nikolausi,Unknown
2136,Eliurus minor,Unknown
2137,Eliurus majori,Unknown
2138,Eliurus grandidieri,Unknown
2139,Eliurus antsingy,Unknown
2140,Eliurus myoxinus,Unknown
2141,Eliurus penicillatus,Unknown
2142,Eliurus petteri,Unknown
2143,Eliurus tanala,Unknown
2144,Eliurus webbi,Unknown
2145,Aconaemys porteri,Unknown
2146,Octodontomys gliroides,Stable
2147,Petromus typicus,Stable
2148,Typhlomys cinereus,Decreasing
2149,Rhinosciurus laticaudatus,Decreasing
2150,Petinomys fuscocapillus,Decreasing
2151,Petinomys crinitus,Stable
2152,Petinomys setosus,Decreasing
2153,Petinomys mindanensis,Unknown
2154,Hylopetes sagitta,Unknown
2155,Petinomys hageni,Decreasing
2156,Petinomys lugens,Decreasing
2157,Lariscus obscurus,Decreasing
2158,Lariscus insignis,Decreasing
2159,Lariscus hosei,Decreasing
2160,Paraxerus vexillarius,Unknown
2161,Paraxerus cooperi,Unknown
2162,Hylopetes nigripes,Decreasing
2163,Hylopetes sipora,Decreasing
2164,Hylopetes phayrei,Stable
2165,Hylopetes winstoni,Unknown
2166,Hylopetes platyurus,Unknown
2167,Hylopetes alboniger,Decreasing
2168,Exilisciurus concinnus,Stable
2169,Exilisciurus whiteheadi,Stable
2170,Epixerus ebii,Unknown
2171,Pteromyscus pulverulentus,Decreasing
2172,Sciurus aberti,Stable
2173,Sciurus carolinensis,Increasing
2174,Sciurus sanborni,Unknown
2175,Sciurus variegatoides,Stable
2176,Sciurus pucheranii,Unknown
2177,Sciurus oculatus,Unknown
2178,Sciurus richmondi,Unknown
2179,Sciurus pyrrhinus,Unknown
2180,Sciurus gilvigularis,Unknown
2181,Sciurus ignitus,Unknown
2182,Sciurus arizonensis,Unknown
2183,Sciurus aureogaster,Stable
2184,Sciurus colliaei,Unknown
2185,Sciurus flammifer,Unknown
2186,Sciurus aestuans,Unknown
2187,Sciurus alleni,Decreasing
2188,Rheithrosciurus macrotis,Decreasing
2189,Eoglaucomys fimbriatus,Unknown
2190,Sundasciurus samarensis,Unknown
2191,Sundasciurus hoogstraali,Unknown
2192,Sundasciurus mindanensis,Unknown
2193,Sundasciurus steerii,Stable
2194,Sundasciurus tenuis,Decreasing
2195,Sundasciurus juvencus,Stable
2196,Sundasciurus lowii,Stable
2197,Sundasciurus moellendorffi,Decreasing
2198,Sundasciurus philippinensis,Stable
2199,Sundasciurus brookei,Unknown
2200,Sundasciurus hippurus,Decreasing
2201,Sundasciurus jentinki,Unknown
2202,Tamiasciurus mearnsi,Decreasing
2203,Sciurotamias forresti,Unknown
2204,Ammospermophilus nelsoni,Decreasing
2205,Tamiops mcclellandii,Stable
2206,Tamiops maritimus,Stable
2207,Tamiops rodolphii,Stable
2208,Tamiops swinhoei,Stable
2209,Callosciurus quinquestriatus,Unknown
2210,Callosciurus pygerythrus,Stable
2211,Callosciurus prevostii,Decreasing
2212,Callosciurus phayrei,Unknown
2213,Callosciurus orestes,Stable
2214,Callosciurus nigrovittatus,Stable
2215,Callosciurus inornatus,Stable
2216,Callosciurus melanogaster,Decreasing
2217,Callosciurus erythraeus,Stable
2218,Callosciurus finlaysonii,Stable
2219,Callosciurus baluensis,Decreasing
2220,Callosciurus caniceps,Stable
2221,Callosciurus adamsi,Decreasing
2222,Microsciurus mimulus,Stable
2223,Microsciurus santanderensis,Unknown
2224,Microsciurus alfari,Stable
2225,Microsciurus flaviventer,Unknown
2226,Glyphotes simus,Unknown
2227,Dremomys gularis,Unknown
2228,Dremomys everetti,Stable
2229,Dremomys rufigenis,Stable
2230,Prosciurillus weberi,Unknown
2231,Prosciurillus leucomus,Unknown
2232,Prosciurillus rosenbergii,Stable
2233,Prosciurillus murinus,Unknown
2234,Prosciurillus abstrusus,Unknown
2235,Belomys pearsonii,Unknown
2236,Sciurillus pusillus,Unknown
2237,Glaucomys sabrinus,Stable
2238,Marmota olympus,Decreasing
2239,Marmota broweri,Stable
2240,Marmota sibirica,Decreasing
2241,Marmota vancouverensis,Decreasing
2242,Syntheosciurus brochus,Decreasing
2243,Funambulus tristriatus,Decreasing
2244,Funambulus sublineatus,Decreasing
2245,Funambulus layardi,Decreasing
2246,Heliosciurus ruwenzorii,Unknown
2247,Cynomys parvidens,Decreasing
2248,Cynomys leucurus,Decreasing
2249,Ratufa affinis,Decreasing
2250,Ratufa macroura,Decreasing
2251,Ratufa bicolor,Decreasing
