Host,redlistCategory,NumVirus
abditomys latidens,Data Deficient,NA
abeomelomys sevia,Least Concern,NA
abrawayaomys chebezi,Data Deficient,NA
abrawayaomys ruschii,Least Concern,NA
abrocoma bennettii,Least Concern,NA
abrocoma boliviensis,Critically Endangered,NA
abrocoma budini,Data Deficient,NA
abrocoma cinerea,Least Concern,NA
abrocoma famatina,Data Deficient,NA
abrocoma shistacea,Least Concern,NA
abrocoma uspallata,Data Deficient,NA
abrocoma vaccarum,Data Deficient,NA
abrothrix andinus,Least Concern,NA
abrothrix illutea,Least Concern,NA
abrothrix jelskii,Least Concern,NA
abrothrix lanosus,Least Concern,NA
abrothrix longipilis,Least Concern,1
abrothrix manni,Least Concern,NA
abrothrix olivaceus,Least Concern,1
abrothrix sanborni,Near Threatened,1
acerodon celebensis,Vulnerable,NA
acerodon humilis,Endangered,NA
acerodon jubatus,Endangered,NA
acerodon leucotis,Vulnerable,NA
acerodon mackloti,Vulnerable,NA
acinonyx jubatus,Vulnerable,15
acomys airensis,Least Concern,NA
acomys cahirinus,Least Concern,2
acomys cilicicus,Data Deficient,NA
acomys cineraceus,Least Concern,NA
acomys dimidiatus,Least Concern,1
acomys ignitus,Least Concern,NA
acomys johannis,Least Concern,NA
acomys kempi,Least Concern,NA
acomys louisae,Least Concern,NA
acomys minous,Data Deficient,NA
acomys mullah,Least Concern,NA
acomys muzei,Least Concern,NA
acomys nesiotes,Data Deficient,NA
acomys ngurui,Least Concern,NA
acomys percivali,Least Concern,NA
acomys russatus,Least Concern,NA
acomys selousi,Least Concern,NA
acomys seurati,Least Concern,NA
acomys spinosissimus,Least Concern,NA
acomys subspinosus,Least Concern,NA
acomys wilsoni,Least Concern,NA
aconaemys fuscus,Least Concern,NA
aconaemys porteri,Data Deficient,NA
aconaemys sagei,Data Deficient,NA
acrobates pygmaeus,Least Concern,NA
addax nasomaculatus,Critically Endangered,2
aegialomys galapagoensis,Vulnerable,NA
aegialomys xanthaeolus,Least Concern,NA
aepeomys lugens,Least Concern,NA
aepeomys reigi,Vulnerable,NA
aepyceros melampus,Least Concern,15
aepyprymnus rufescens,Least Concern,NA
aeretes melanopterus,Near Threatened,NA
aeromys tephromelas,Data Deficient,NA
aeromys thomasi,Least Concern,NA
aethalops aequalis,Least Concern,NA
aethalops alecto,Least Concern,NA
aethomys bocagei,Least Concern,NA
aethomys chrysophilus,Least Concern,NA
aethomys hindei,Least Concern,NA
aethomys ineptus,Least Concern,NA
aethomys kaiseri,Least Concern,2
aethomys nyikae,Least Concern,NA
aethomys silindensis,Data Deficient,NA
aethomys stannarius,Data Deficient,NA
aethomys thomasi,Least Concern,NA
ailuropoda melanoleuca,Vulnerable,4
ailurops melanotis,Critically Endangered,NA
ailurops ursinus,Vulnerable,NA
ailurus fulgens,Endangered,4
akodon aerosus,Least Concern,NA
akodon affinis,Least Concern,NA
akodon albiventer,Least Concern,NA
akodon azarae,Least Concern,5
akodon boliviensis,Least Concern,NA
akodon budini,Least Concern,NA
akodon caenosus,Data Deficient,NA
akodon cursor,Least Concern,1
akodon dayi,Least Concern,NA
akodon dolores,Least Concern,NA
akodon fumeus,Least Concern,NA
akodon iniscatus,Least Concern,NA
akodon juninensis,Least Concern,NA
akodon kofordi,Least Concern,NA
akodon lindberghi,Data Deficient,NA
akodon lutescens,Least Concern,NA
akodon mimus,Least Concern,NA
akodon molinae,Least Concern,NA
akodon mollis,Least Concern,NA
akodon montensis,Least Concern,3
akodon mystax,Data Deficient,NA
akodon orophilus,Least Concern,NA
akodon paranaensis,Least Concern,1
akodon pervalens,Data Deficient,NA
akodon philipmyersi,Data Deficient,NA
akodon polopi,Least Concern,NA
akodon reigi,Least Concern,NA
akodon sanctipaulensis,Data Deficient,NA
akodon serrensis,Least Concern,NA
akodon siberiae,Near Threatened,NA
akodon simulator,Least Concern,1
akodon spegazzinii,Least Concern,NA
akodon subfuscus,Least Concern,NA
akodon surdus,Vulnerable,NA
akodon sylvanus,Least Concern,NA
akodon toba,Least Concern,NA
akodon torques,Least Concern,NA
akodon varius,Data Deficient,1
alcelaphus buselaphus,Least Concern,12
alces alces,Least Concern,12
alionycteris paucidentata,Least Concern,NA
allactaga balikunica,Least Concern,NA
allactaga bullata,Least Concern,NA
allactaga elater,Least Concern,NA
allactaga euphratica,Least Concern,NA
allactaga firouzi,Data Deficient,NA
allactaga hotsoni,Least Concern,NA
allactaga major,Least Concern,NA
allactaga severtzovi,Least Concern,NA
allactaga sibirica,Least Concern,NA
allactaga tetradactyla,Data Deficient,NA
allactaga toussi,Least Concern,NA
allactaga vinogradovi,Near Threatened,NA
allactaga williamsi,Least Concern,NA
allactodipus bobrinskii,Least Concern,NA
allenopithecus nigroviridis,Least Concern,4
allocebus trichotis,Endangered,NA
allochrocebus lhoesti,Vulnerable,2
allochrocebus preussi,Endangered,NA
allochrocebus solatus,Near Threatened,2
allocricetulus curtatus,Least Concern,NA
allocricetulus eversmanni,Least Concern,NA
alouatta arctoidea,Least Concern,NA
alouatta belzebul,Vulnerable,5
alouatta caraya,Near Threatened,4
alouatta discolor,Vulnerable,NA
alouatta guariba,Vulnerable,2
alouatta juara,Least Concern,NA
alouatta macconnelli,Least Concern,NA
alouatta nigerrima,Least Concern,NA
alouatta palliata,Vulnerable,2
alouatta pigra,Endangered,4
alouatta puruensis,Vulnerable,NA
alouatta sara,Near Threatened,NA
alouatta seniculus,Least Concern,6
alouatta ululata,Endangered,NA
alticola albicaudus,Data Deficient,NA
alticola argentatus,Least Concern,1
alticola barakshin,Least Concern,NA
alticola lemminus,Least Concern,NA
alticola macrotis,Least Concern,NA
alticola montosa,Vulnerable,NA
alticola olchonensis,Endangered,NA
alticola roylei,Near Threatened,NA
alticola semicanus,Least Concern,NA
alticola stoliczkanus,Least Concern,NA
alticola strelzowi,Least Concern,NA
alticola tuvinicus,Least Concern,NA
amblysomus corriae,Near Threatened,NA
amblysomus hottentotus,Least Concern,NA
amblysomus marleyi,Endangered,NA
amblysomus robustus,Vulnerable,NA
amblysomus septentrionalis,Near Threatened,NA
ametrida centurio,Least Concern,NA
ammodillus imbellis,Data Deficient,NA
ammodorcas clarkei,Vulnerable,NA
ammospermophilus harrisii,Least Concern,NA
ammospermophilus interpres,Least Concern,NA
ammospermophilus leucurus,Least Concern,NA
ammospermophilus nelsoni,Endangered,4
ammotragus lervia,Vulnerable,4
amorphochilus schnablii,Vulnerable,NA
amphinectomys savamis,Data Deficient,NA
anathana ellioti,Least Concern,NA
andalgalomys olrogi,Least Concern,NA
andalgalomys pearsoni,Least Concern,NA
andinomys edax,Least Concern,NA
anisomys imitator,Least Concern,NA
anomalurus beecrofti,Least Concern,NA
anomalurus derbianus,Least Concern,NA
anomalurus pelii,Data Deficient,NA
anomalurus pusillus,Least Concern,NA
anonymomys mindorensis,Data Deficient,NA
anotomys leander,Endangered,NA
anoura aequatoris,Least Concern,NA
anoura cadenai,Data Deficient,NA
anoura caudifer,Least Concern,1
anoura cultrata,Least Concern,NA
anoura fistulata,Data Deficient,NA
anoura geoffroyi,Least Concern,9
anoura latidens,Least Concern,NA
anoura luismanueli,Least Concern,NA
anoura peruana,Least Concern,NA
anourosorex assamensis,Least Concern,NA
anourosorex schmidi,Data Deficient,NA
anourosorex squamipes,Least Concern,NA
anourosorex yamashinai,Least Concern,NA
antechinomys laniger,Least Concern,NA
antechinus adustus,Least Concern,NA
antechinus agilis,Least Concern,NA
antechinus bellus,Vulnerable,NA
antechinus flavipes,Least Concern,NA
antechinus godmani,Least Concern,NA
antechinus leo,Least Concern,NA
antechinus minimus,Least Concern,NA
antechinus stuartii,Least Concern,NA
antechinus subtropicus,Least Concern,NA
antechinus swainsonii,Least Concern,NA
anthops ornatus,Vulnerable,NA
antidorcas marsupialis,Least Concern,10
antilocapra americana,Least Concern,11
antilope cervicapra,Least Concern,4
antrozous pallidus,Least Concern,1
aonyx capensis,Near Threatened,NA
aonyx cinereus,Vulnerable,NA
aonyx congicus,Near Threatened,NA
aotus azarae,Least Concern,NA
aotus brumbacki,Vulnerable,NA
aotus griseimembra,Vulnerable,NA
aotus jorgehernandezi,Data Deficient,NA
aotus lemurinus,Vulnerable,NA
aotus miconax,Endangered,NA
aotus nancymaae,Vulnerable,NA
aotus nigriceps,Least Concern,NA
aotus trivirgatus,Least Concern,14
aotus vociferans,Least Concern,NA
aotus zonalis,Near Threatened,NA
aplodontia rufa,Least Concern,NA
apodemus agrarius,Least Concern,13
apodemus alpicola,Least Concern,NA
apodemus argenteus,Least Concern,1
apodemus avicennicus,Data Deficient,NA
apodemus chevrieri,Least Concern,NA
apodemus draco,Least Concern,NA
apodemus epimelas,Least Concern,NA
apodemus flavicollis,Least Concern,11
apodemus gurkha,Least Concern,NA
apodemus hyrcanicus,Near Threatened,NA
apodemus latronum,Least Concern,NA
apodemus mystacinus,Least Concern,1
apodemus pallipes,Least Concern,1
apodemus peninsulae,Least Concern,1
apodemus ponticus,Least Concern,1
apodemus rusiges,Least Concern,NA
apodemus semotus,Least Concern,NA
apodemus speciosus,Least Concern,2
apodemus sylvaticus,Least Concern,25
apodemus uralensis,Least Concern,1
apodemus witherbyi,Least Concern,NA
apomys abrae,Least Concern,NA
apomys aurorae,Least Concern,NA
apomys banahao,Least Concern,NA
apomys brownorum,Data Deficient,NA
apomys camiguinensis,Vulnerable,NA
apomys datae,Least Concern,NA
apomys gracilirostris,Least Concern,NA
apomys hylocetes,Least Concern,NA
apomys insignis,Least Concern,NA
apomys iridensis,Least Concern,NA
apomys littoralis,Data Deficient,NA
apomys lubangensis,Least Concern,NA
apomys magnus,Least Concern,NA
apomys microdon,Least Concern,NA
apomys minganensis,Least Concern,NA
apomys musculus,Least Concern,NA
apomys sacobianus,Least Concern,NA
apomys sierrae,Least Concern,NA
apomys zambalensis,Least Concern,NA
aproteles bulmerae,Critically Endangered,NA
arabitragus jayakari,Endangered,NA
arborimus albipes,Least Concern,NA
arborimus longicaudus,Near Threatened,NA
arborimus pomo,Near Threatened,NA
archboldomys luzonensis,Vulnerable,NA
archboldomys maximus,Data Deficient,NA
arctictis binturong,Vulnerable,NA
arctocebus aureus,Least Concern,NA
arctocebus calabarensis,Near Threatened,NA
arctocephalus australis,Least Concern,3
arctocephalus forsteri,Least Concern,1
arctocephalus galapagoensis,Endangered,1
arctocephalus gazella,Least Concern,NA
arctocephalus philippii,Least Concern,NA
arctocephalus pusillus,Least Concern,NA
arctocephalus townsendi,Least Concern,NA
arctocephalus tropicalis,Least Concern,NA
arctogalidia trivirgata,Least Concern,NA
arctonyx albogularis,Least Concern,NA
arctonyx collaris,Vulnerable,NA
arctonyx hoevenii,Least Concern,NA
ardops nichollsi,Least Concern,NA
arielulus circumdatus,Least Concern,NA
arielulus cuprosus,Vulnerable,NA
arielulus societatis,Least Concern,NA
arielulus torquatus,Least Concern,NA
ariteus flavescens,Least Concern,NA
artibeus aequatorialis,Least Concern,NA
artibeus amplus,Least Concern,NA
artibeus concolor,Least Concern,NA
artibeus fimbriatus,Least Concern,1
artibeus fraterculus,Least Concern,NA
artibeus hirsutus,Least Concern,NA
artibeus inopinatus,Data Deficient,NA
artibeus jamaicensis,Least Concern,15
artibeus lituratus,Least Concern,18
artibeus obscurus,Least Concern,NA
artibeus planirostris,Least Concern,1
artibeus schwartzi,Data Deficient,NA
arvicanthis abyssinicus,Least Concern,NA
arvicanthis ansorgei,Least Concern,NA
arvicanthis blicki,Near Threatened,NA
arvicanthis nairobae,Least Concern,NA
arvicanthis neumanni,Least Concern,1
arvicanthis niloticus,Least Concern,12
arvicanthis rufinus,Least Concern,NA
arvicola amphibius,Least Concern,2
arvicola sapidus,Vulnerable,NA
arvicola scherman,Least Concern,2
asellia arabica,Data Deficient,NA
asellia italosomalica,Data Deficient,NA
asellia patrizii,Least Concern,NA
asellia tridens,Least Concern,NA
aselliscus stoliczkanus,Least Concern,NA
aselliscus tricuspidatus,Least Concern,NA
atelerix albiventris,Least Concern,6
atelerix algirus,Least Concern,NA
atelerix frontalis,Least Concern,NA
atelerix sclateri,Least Concern,NA
ateles belzebuth,Endangered,NA
ateles chamek,Endangered,NA
ateles fusciceps,Endangered,1
ateles geoffroyi,Endangered,3
ateles hybridus,Critically Endangered,NA
ateles marginatus,Endangered,NA
ateles paniscus,Vulnerable,5
atelocynus microtis,Near Threatened,NA
atherurus africanus,Least Concern,1
atherurus macrourus,Least Concern,NA
atilax paludinosus,Least Concern,2
atlantoxerus getulus,Least Concern,NA
atopogale cubana,Endangered,NA
auliscomys boliviensis,Least Concern,NA
auliscomys pictus,Least Concern,NA
auliscomys sublimis,Least Concern,NA
austronomus australis,Least Concern,NA
austronomus kuboriensis,Least Concern,NA
avahi betsileo,Endangered,NA
avahi cleesei,Critically Endangered,NA
avahi laniger,Vulnerable,NA
avahi meridionalis,Endangered,NA
avahi mooreorum,Endangered,NA
avahi occidentalis,Vulnerable,NA
avahi peyrierasi,Vulnerable,NA
avahi ramanantsoavanai,Vulnerable,NA
avahi unicolor,Critically Endangered,NA
axis axis,Least Concern,8
axis calamianensis,Endangered,NA
axis kuhlii,Critically Endangered,NA
axis porcinus,Endangered,2
babyrousa babyrussa,Vulnerable,2
babyrousa celebensis,Vulnerable,NA
babyrousa togeanensis,Endangered,NA
baeodon alleni,Least Concern,NA
baeodon gracilis,Least Concern,NA
baiomys musculus,Least Concern,NA
baiomys taylori,Least Concern,4
baiyankamys habbema,Data Deficient,NA
baiyankamys shawmayeri,Least Concern,NA
balaena mysticetus,Least Concern,1
balaenoptera acutorostrata,Least Concern,2
balaenoptera bonaerensis,Near Threatened,NA
balaenoptera borealis,Endangered,1
balaenoptera edeni,Least Concern,NA
balaenoptera musculus,Endangered,NA
balaenoptera omurai,Data Deficient,NA
balaenoptera physalus,Vulnerable,2
balantiopteryx infusca,Vulnerable,NA
balantiopteryx io,Vulnerable,NA
balantiopteryx plicata,Least Concern,NA
balionycteris maculata,Least Concern,NA
balionycteris seimundi,Least Concern,NA
bandicota bengalensis,Least Concern,2
bandicota indica,Least Concern,7
bandicota savilei,Least Concern,2
barbastella barbastellus,Near Threatened,2
barbastella beijingensis,Data Deficient,NA
barbastella leucomelas,Least Concern,NA
bassaricyon alleni,Least Concern,NA
bassaricyon gabbii,Least Concern,1
bassaricyon medius,Least Concern,NA
bassaricyon neblina,Near Threatened,NA
bassariscus astutus,Least Concern,2
bassariscus sumichrasti,Least Concern,NA
bathyergus janetta,Least Concern,NA
bathyergus suillus,Least Concern,NA
batomys dentatus,Data Deficient,NA
batomys granti,Least Concern,NA
batomys hamiguitan,Data Deficient,NA
batomys russatus,Endangered,NA
batomys salomonseni,Least Concern,NA
batomys uragon,Least Concern,NA
bauerus dubiaquercus,Near Threatened,NA
bdeogale crassicauda,Least Concern,NA
bdeogale jacksoni,Near Threatened,NA
bdeogale nigripes,Least Concern,NA
bdeogale omnivora,Vulnerable,NA
beamys hindei,Least Concern,NA
beatragus hunteri,Critically Endangered,1
belomys pearsonii,Data Deficient,NA
berardius arnuxii,Least Concern,NA
berardius bairdii,Least Concern,NA
berardius minimus,Near Threatened,NA
berylmys berdmorei,Least Concern,NA
berylmys bowersi,Least Concern,NA
berylmys mackenziei,Data Deficient,NA
berylmys manipulus,Data Deficient,NA
bettongia anhydra,Extinct,NA
bettongia gaimardi,Near Threatened,1
bettongia lesueur,Near Threatened,NA
bettongia penicillata,Critically Endangered,1
bettongia pusilla,Extinct,NA
bettongia tropica,Endangered,NA
bibimys chacoensis,Least Concern,1
bibimys labiosus,Least Concern,NA
bibimys torresi,Vulnerable,NA
bison bison,Near Threatened,18
bison bonasus,Near Threatened,8
biswamoyopterus biswasi,Critically Endangered,NA
biswamoyopterus laoensis,Data Deficient,NA
blanfordimys afghanus,Least Concern,NA
blanfordimys bucharensis,Least Concern,NA
blarina brevicauda,Least Concern,NA
blarina carolinensis,Least Concern,NA
blarina hylophaga,Least Concern,NA
blarinella griselda,Least Concern,NA
blarinella quadraticauda,Near Threatened,NA
blarinella wardi,Least Concern,NA
blarinomys breviceps,Least Concern,NA
blastocerus dichotomus,Vulnerable,3
boneia bidens,Vulnerable,NA
boromys offella,Extinct,NA
boromys torrei,Extinct,NA
bos gaurus,Vulnerable,3
bos javanicus,Endangered,4
bos mutus,Vulnerable,4
bos primigenius,Extinct,1
bos sauveli,Critically Endangered,NA
boselaphus tragocamelus,Least Concern,5
brachiones przewalskii,Least Concern,NA
brachylagus idahoensis,Least Concern,NA
brachyphylla cavernarum,Least Concern,NA
brachyphylla nana,Least Concern,NA
brachytarsomys albicauda,Least Concern,NA
brachytarsomys villosa,Vulnerable,NA
brachyteles arachnoides,Critically Endangered,1
brachyteles hypoxanthus,Critically Endangered,NA
brachyuromys betsileoensis,Least Concern,NA
brachyuromys ramirohitra,Least Concern,NA
bradypus pygmaeus,Critically Endangered,NA
bradypus torquatus,Vulnerable,NA
bradypus tridactylus,Least Concern,5
bradypus variegatus,Least Concern,4
brassomys albidens,Data Deficient,NA
brotomys voratus,Extinct,NA
brucepattersonius griserufescens,Data Deficient,NA
brucepattersonius guarani,Data Deficient,NA
brucepattersonius igniventris,Data Deficient,NA
brucepattersonius iheringi,Least Concern,NA
brucepattersonius misionensis,Data Deficient,NA
brucepattersonius paradisus,Data Deficient,NA
brucepattersonius soricinus,Data Deficient,NA
bubalus arnee,Endangered,NA
bubalus depressicornis,Endangered,NA
bubalus mindorensis,Critically Endangered,NA
bubalus quarlesi,Endangered,NA
budorcas taxicolor,Vulnerable,1
bullimus bagobus,Least Concern,NA
bullimus gamay,Vulnerable,NA
bullimus luzonicus,Least Concern,NA
bunolagus monticularis,Critically Endangered,NA
bunomys andrewsi,Least Concern,NA
bunomys chrysocomus,Least Concern,NA
bunomys coelestis,Endangered,NA
bunomys fratrorum,Vulnerable,NA
bunomys karokophilus,Data Deficient,NA
bunomys penitus,Least Concern,NA
bunomys prolatus,Endangered,NA
bunomys torajae,Data Deficient,NA
burramys parvus,Critically Endangered,NA
cabassous centralis,Data Deficient,1
cabassous chacoensis,Near Threatened,NA
cabassous tatouay,Least Concern,NA
cabassous unicinctus,Least Concern,NA
cacajao ayresi,Least Concern,NA
cacajao calvus,Vulnerable,1
cacajao hosomi,Vulnerable,NA
cacajao melanocephalus,Least Concern,1
caenolestes caniventer,Near Threatened,NA
caenolestes condorensis,Vulnerable,NA
caenolestes convelatus,Vulnerable,NA
caenolestes fuliginosus,Least Concern,NA
caenolestes sangay,Vulnerable,NA
calcochloris obtusirostris,Least Concern,NA
calcochloris tytonis,Data Deficient,NA
callibella humilis,Least Concern,NA
callicebus barbarabrownae,Critically Endangered,NA
callicebus coimbrai,Endangered,NA
callicebus melanochir,Vulnerable,NA
callicebus nigrifrons,Near Threatened,NA
callicebus personatus,Vulnerable,NA
callimico goeldii,Vulnerable,1
callistomys pictus,Endangered,NA
callithrix aurita,Endangered,NA
callithrix flaviceps,Critically Endangered,NA
callithrix geoffroyi,Least Concern,2
callithrix jacchus,Least Concern,16
callithrix kuhlii,Vulnerable,NA
callithrix penicillata,Least Concern,3
callorhinus ursinus,Vulnerable,5
callosciurus adamsi,Near Threatened,NA
callosciurus albescens,Data Deficient,NA
callosciurus baluensis,Least Concern,NA
callosciurus caniceps,Least Concern,NA
callosciurus erythraeus,Least Concern,NA
callosciurus finlaysonii,Least Concern,NA
callosciurus inornatus,Least Concern,NA
callosciurus melanogaster,Vulnerable,NA
callosciurus nigrovittatus,Least Concern,NA
callosciurus notatus,Least Concern,NA
callosciurus orestes,Least Concern,NA
callosciurus phayrei,Least Concern,NA
callosciurus prevostii,Least Concern,NA
callosciurus pygerythrus,Least Concern,NA
callosciurus quinquestriatus,Least Concern,NA
callospermophilus lateralis,Least Concern,5
callospermophilus madrensis,Near Threatened,NA
callospermophilus saturatus,Least Concern,NA
calomys boliviae,Least Concern,NA
calomys callidus,Least Concern,1
calomys callosus,Least Concern,5
calomys expulsus,Least Concern,NA
calomys fecundus,Least Concern,NA
calomys hummelincki,Least Concern,NA
calomys laucha,Least Concern,2
calomys lepidus,Least Concern,NA
calomys musculinus,Least Concern,3
calomys sorellus,Least Concern,NA
calomys tener,Least Concern,1
calomys tocantinsi,Least Concern,NA
calomys venustus,Least Concern,NA
calomyscus bailwardi,Least Concern,NA
calomyscus baluchi,Least Concern,NA
calomyscus elburzensis,Least Concern,NA
calomyscus grandis,Data Deficient,NA
calomyscus hotsoni,Least Concern,NA
calomyscus mystax,Least Concern,NA
calomyscus tsolovi,Data Deficient,NA
calomyscus urartensis,Least Concern,NA
caloprymnus campestris,Extinct,NA
caluromys derbianus,Least Concern,2
caluromys lanatus,Least Concern,NA
caluromys philander,Least Concern,6
caluromysiops irrupta,Least Concern,NA
calyptophractus retusus,Data Deficient,NA
camelus ferus,Critically Endangered,NA
canis adustus,Least Concern,7
canis aureus,Least Concern,5
canis latrans,Least Concern,16
canis lupaster,Least Concern,NA
canis lupus,Least Concern,49
canis mesomelas,Least Concern,8
canis rufus,Critically Endangered,NA
canis simensis,Endangered,4
cannomys badius,Least Concern,NA
cansumys canus,Least Concern,NA
caperea marginata,Least Concern,NA
capra aegagrus,Near Threatened,3
capra caucasica,Endangered,1
capra cylindricornis,Near Threatened,NA
capra falconeri,Near Threatened,NA
capra ibex,Least Concern,8
capra nubiana,Vulnerable,1
capra pyrenaica,Least Concern,1
capra sibirica,Near Threatened,NA
capra walie,Vulnerable,NA
capreolus capreolus,Least Concern,28
capreolus pygargus,Least Concern,NA
capricornis crispus,Least Concern,3
capricornis rubidus,Near Threatened,NA
capricornis sumatraensis,Vulnerable,1
capricornis swinhoei,Least Concern,NA
caprolagus hispidus,Endangered,NA
capromys pilorides,Least Concern,NA
caracal aurata,Vulnerable,NA
caracal caracal,Least Concern,6
cardiocranius paradoxus,Data Deficient,NA
cardioderma cor,Least Concern,NA
carlito syrichta,Near Threatened,NA
carollia benkeithi,Least Concern,NA
carollia brevicauda,Least Concern,3
carollia castanea,Least Concern,NA
carollia manu,Least Concern,NA
carollia monohernandezi,Data Deficient,NA
carollia perspicillata,Least Concern,15
carollia sowelli,Least Concern,NA
carollia subrufa,Least Concern,1
carpitalpa arendsi,Vulnerable,NA
carpomys melanurus,Data Deficient,NA
carpomys phaeurus,Least Concern,NA
carterodon sulcidens,Data Deficient,NA
caryomys eva,Least Concern,NA
caryomys inez,Least Concern,NA
casinycteris argynnis,Least Concern,NA
casinycteris campomaanensis,Data Deficient,NA
castor canadensis,Least Concern,3
castor fiber,Least Concern,1
catagonus wagneri,Endangered,NA
catopuma badia,Endangered,NA
catopuma temminckii,Near Threatened,NA
cavia aperea,Least Concern,NA
cavia fulgida,Least Concern,NA
cavia intermedia,Critically Endangered,NA
cavia magna,Least Concern,NA
cavia patzelti,Data Deficient,NA
cavia tschudii,Least Concern,NA
cebuella niveiventris,Vulnerable,NA
cebuella pygmaea,Vulnerable,2
cebus aequatorialis,Critically Endangered,NA
cebus albifrons,Least Concern,NA
cebus brunneus,Least Concern,NA
cebus capucinus,Vulnerable,1
cebus castaneus,Least Concern,NA
cebus cesarae,Endangered,NA
cebus cuscinus,Near Threatened,NA
cebus imitator,Vulnerable,NA
cebus kaapori,Critically Endangered,NA
cebus leucocephalus,Vulnerable,NA
cebus malitiosus,Endangered,NA
cebus olivaceus,Least Concern,1
cebus unicolor,Vulnerable,NA
cebus versicolor,Endangered,NA
cebus yuracus,Near Threatened,NA
centronycteris centralis,Least Concern,NA
centronycteris maximiliani,Least Concern,NA
centurio senex,Least Concern,NA
cephalopachus bancanus,Vulnerable,NA
cephalophus adersi,Vulnerable,NA
cephalophus callipygus,Least Concern,1
cephalophus dorsalis,Near Threatened,3
cephalophus harveyi,Least Concern,NA
cephalophus jentinki,Endangered,NA
cephalophus leucogaster,Near Threatened,3
cephalophus natalensis,Least Concern,NA
cephalophus niger,Least Concern,1
cephalophus nigrifrons,Least Concern,2
cephalophus ogilbyi,Least Concern,NA
cephalophus rufilatus,Least Concern,2
cephalophus silvicultor,Near Threatened,1
cephalophus spadix,Endangered,NA
cephalophus weynsi,Least Concern,2
cephalophus zebra,Vulnerable,1
cephalorhynchus commersonii,Least Concern,NA
cephalorhynchus eutropia,Near Threatened,NA
cephalorhynchus heavisidii,Near Threatened,NA
cephalorhynchus hectori,Endangered,NA
ceratotherium simum,Near Threatened,12
cercartetus caudatus,Least Concern,NA
cercartetus concinnus,Least Concern,NA
cercartetus lepidus,Least Concern,NA
cercartetus nanus,Least Concern,NA
cercocebus agilis,Least Concern,5
cercocebus atys,Vulnerable,7
cercocebus chrysogaster,Endangered,3
cercocebus galeritus,Critically Endangered,2
cercocebus lunulatus,Endangered,NA
cercocebus sanjei,Endangered,NA
cercocebus torquatus,Endangered,4
cercopithecus ascanius,Least Concern,18
cercopithecus campbelli,Near Threatened,1
cercopithecus cephus,Least Concern,4
cercopithecus denti,Least Concern,2
cercopithecus diana,Endangered,3
cercopithecus dryas,Endangered,NA
cercopithecus erythrogaster,Endangered,NA
cercopithecus erythrotis,Vulnerable,2
cercopithecus hamlyni,Vulnerable,3
cercopithecus lomamiensis,Vulnerable,NA
cercopithecus lowei,Vulnerable,NA
cercopithecus mitis,Least Concern,5
cercopithecus mona,Near Threatened,7
cercopithecus neglectus,Least Concern,4
cercopithecus nictitans,Near Threatened,8
cercopithecus petaurista,Near Threatened,1
cercopithecus pogonias,Near Threatened,5
cercopithecus roloway,Critically Endangered,NA
cercopithecus sclateri,Endangered,NA
cercopithecus wolfi,Near Threatened,1
cerdocyon thous,Least Concern,5
cerradomys maracajuensis,Least Concern,NA
cerradomys marinhus,Least Concern,NA
cerradomys scotti,Least Concern,NA
cerradomys subflavus,Least Concern,NA
cervus albirostris,Vulnerable,NA
cervus canadensis,Least Concern,NA
cervus elaphus,Least Concern,43
cervus hanglu,Least Concern,NA
cervus nippon,Least Concern,11
chacodelphys formosa,Near Threatened,NA
chaerephon aloysiisabaudiae,Least Concern,NA
chaerephon ansorgei,Least Concern,NA
chaerephon atsinanana,Least Concern,NA
chaerephon bemmeleni,Least Concern,NA
chaerephon bivittatus,Least Concern,NA
chaerephon bregullae,Endangered,NA
chaerephon chapini,Least Concern,NA
chaerephon gallagheri,Data Deficient,NA
chaerephon jobensis,Least Concern,NA
chaerephon jobimena,Least Concern,NA
chaerephon johorensis,Vulnerable,NA
chaerephon major,Least Concern,NA
chaerephon nigeriae,Least Concern,NA
chaerephon plicatus,Least Concern,4
chaerephon pumilus,Least Concern,5
chaerephon russatus,Data Deficient,NA
chaerephon solomonis,Endangered,NA
chaerephon tomensis,Endangered,NA
chaeropus ecaudatus,Extinct,NA
chaetocauda sichuanensis,Data Deficient,NA
chaetodipus ammophilus,Near Threatened,NA
chaetodipus arenarius,Least Concern,NA
chaetodipus artus,Least Concern,NA
chaetodipus baileyi,Least Concern,NA
chaetodipus californicus,Least Concern,NA
chaetodipus eremicus,Least Concern,NA
chaetodipus fallax,Least Concern,NA
chaetodipus formosus,Least Concern,NA
chaetodipus goldmani,Near Threatened,NA
chaetodipus hispidus,Least Concern,1
chaetodipus intermedius,Least Concern,NA
chaetodipus lineatus,Data Deficient,NA
chaetodipus nelsoni,Least Concern,NA
chaetodipus penicillatus,Least Concern,NA
chaetodipus pernix,Least Concern,NA
chaetodipus rudinoris,Least Concern,NA
chaetodipus siccus,Least Concern,NA
chaetodipus spinatus,Least Concern,1
chaetomys subspinosus,Vulnerable,NA
chaetophractus vellerosus,Least Concern,1
chaetophractus villosus,Least Concern,NA
chalinolobus dwyeri,Vulnerable,NA
chalinolobus gouldii,Least Concern,NA
chalinolobus morio,Least Concern,NA
chalinolobus neocaledonicus,Endangered,NA
chalinolobus nigrogriseus,Least Concern,NA
chalinolobus picatus,Near Threatened,NA
