Host,redlistCategory,NVirion,NZoon,Nvirion,Nzoon
cheirogaleus andysabini,Endangered,0,0,0,0
cheirogaleus lavasoensis,Endangered,0,0,0,0
cheirogaleus shethi,Endangered,0,0,0,0
cheirogaleus thomasi,Endangered,0,0,0,0
chimarrogale phaeura,Endangered,0,0,0,0
chinchilla chinchilla,Endangered,0,0,0,0
chinchilla lanigera,Endangered,0.4771213,0.4771213,2,2.000000313
chiroderma improvisum,Endangered,0,0,0,0
chiropotes satanas,Endangered,0,0,0,0
choeropsis liberiensis,Endangered,0.4771213,0.4771213,2,2.000000313
chrotogale owstoni,Endangered,0.30103,0.30103,1,1.00000002
chrysospalax trevelyani,Endangered,0,0,0,0
coendou speratus,Endangered,0,0,0,0
colobus polykomos,Endangered,0.60206,0.60206,3,3.00000008
crateromys heaneyi,Endangered,0,0,0,0
crateromys schadenbergi,Endangered,0,0,0,0
crocidura ansellorum,Endangered,0,0,0,0
crocidura bottegoides,Endangered,0,0,0,0
crocidura canariensis,Endangered,0,0,0,0
crocidura hikmiya,Endangered,0,0,0,0
crocidura mdumai,Endangered,0,0,0,0
crocidura miya,Endangered,0,0,0,0
crocidura negrina,Endangered,0,0,0,0
crocidura orii,Endangered,0,0,0,0
crocidura phaeura,Endangered,0,0,0,0
crocidura picea,Endangered,0,0,0,0
crocidura stenocephala,Endangered,0,0,0,0
crocidura tarella,Endangered,0,0,0,0
crocidura thomensis,Endangered,0,0,0,0
crocidura zimmermanni,Endangered,0,0,0,0
cryptochloris zyli,Endangered,0,0,0,0
cryptotis aroensis,Endangered,0,0,0,0
cryptotis endersi,Endangered,0,0,0,0
cryptotis griseoventris,Endangered,0,0,0,0
cryptotis merus,Endangered,0,0,0,0
ctenomys australis,Endangered,0,0,0,0
ctenomys azarae,Endangered,0,0,0,0
ctenomys bergi,Endangered,0,0,0,0
ctenomys bonettoi,Endangered,0,0,0,0
ctenomys flamarioni,Endangered,0,0,0,0
ctenomys latro,Endangered,0,0,0,0
ctenomys occultus,Endangered,0,0,0,0
ctenomys pilarensis,Endangered,0,0,0,0
ctenomys pundti,Endangered,0,0,0,0
ctenomys rionegrensis,Endangered,0,0,0,0
cuon alpinus,Endangered,0,0,0,0
cynogale bennettii,Endangered,0,0,0,0
cynomys mexicanus,Endangered,0.30103,0.30103,1,1.00000002
cynomys parvidens,Endangered,0.30103,0.30103,1,1.00000002
dactylopsila tatei,Endangered,0,0,0,0
dama mesopotamica,Endangered,0,0,0,0
dasymys montanus,Endangered,0,0,0,0
dasyprocta ruatanica,Endangered,0,0,0,0
dasyurus hallucatus,Endangered,0,0,0,0
dasyurus viverrinus,Endangered,0,0,0,0
daubentonia madagascariensis,Endangered,0,0,0,0
dendrolagus goodfellowi,Endangered,0.30103,0.30103,1,1.00000002
dendrolagus matschiei,Endangered,0,0,0,0
dendrolagus mbaiso,Endangered,0,0,0,0
dendrolagus notatus,Endangered,0,0,0,0
desmalopex microleucopterus,Endangered,0,0,0,0
desmana moschata,Endangered,0,0,0,0
diplothrix legata,Endangered,0,0,0,0
dipodomys ingens,Endangered,0,0,0,0
dyacopterus rickarti,Endangered,0,0,0,0
echiothrix leucura,Endangered,0,0,0,0
echymipera davidi,Endangered,0,0,0,0
elephas maximus,Endangered,1.041393,0.7781513,10,5.000000685
eliurus penicillatus,Endangered,0,0,0,0
eliurus petteri,Endangered,0,0,0,0
emballonura semicaudata,Endangered,0,0,0,0
enhydra lutris,Endangered,0.69897,0.30103,4,1.00000002
eptesicus guadeloupensis,Endangered,0,0,0,0
equus ferus,Endangered,1.431364,1.079181,26,10.9999932
equus grevyi,Endangered,0.69897,0,4,0
eubalaena japonica,Endangered,0,0,0,0
eudorcas tilonura,Endangered,0,0,0,0
eulemur collaris,Endangered,0,0,0,0
eulemur coronatus,Endangered,0,0,0,0
eulemur macaco,Endangered,0.30103,0.30103,1,1.00000002
eulemur sanfordi,Endangered,0,0,0,0
eupetaurus cinereus,Endangered,0,0,0,0
eupleres major,Endangered,0,0,0,0
feroculus feroculus,Endangered,0,0,0,0
fukomys hanangensis,Endangered,0,0,0,0
galidictis grandidieri,Endangered,0,0,0,0
gazella gazella,Endangered,0.7781513,0.60206,5,3.00000008
gazella leptoceros,Endangered,0,0,0,0
gazella spekei,Endangered,0,0,0,0
geocapromys brownii,Endangered,0,0,0,0
geomys tropicalis,Endangered,0,0,0,0
gerbillus hesperinus,Endangered,0,0,0,0
grammomys gigas,Endangered,0,0,0,0
habromys delicatulus,Endangered,0,0,0,0
hadromys humei,Endangered,0,0,0,0
handleyomys rhabdops,Endangered,0,0,0,0
hapalomys longicaudatus,Endangered,0,0,0,0
heteromys nelsoni,Endangered,0,0,0,0
heteromys oasicus,Endangered,0,0,0,0
heteromys spectabilis,Endangered,0,0,0,0
hippocamelus bisulcus,Endangered,0,0,0,0
hipposideros coxi,Endangered,0,0,0,0
hipposideros curtus,Endangered,0,0,0,0
hipposideros demissus,Endangered,0,0,0,0
hipposideros nicobarulae,Endangered,0,0,0,0
hipposideros pomona,Endangered,1.079181,0.95542425,11,8.024522873
hipposideros turpis,Endangered,0,0,0,0
hoolock hoolock,Endangered,0.30103,0.30103,1,1.00000002
hoolock tianxing,Endangered,0,0,0,0
hybomys badius,Endangered,0,0,0,0
hybomys basilii,Endangered,0,0,0,0
hybomys eisentrauti,Endangered,0,0,0,0
hylobates abbotti,Endangered,0,0,0,0
hylobates agilis,Endangered,0.30103,0.30103,1,1.00000002
hylobates albibarbis,Endangered,0.30103,0.30103,1,1.00000002
hylobates funereus,Endangered,0,0,0,0
hylobates klossii,Endangered,0,0,0,0
hylobates lar,Endangered,0.90309,0.90309,7,7.00000024
hylobates moloch,Endangered,0.30103,0.30103,1,1.00000002
hylobates muelleri,Endangered,0.30103,0.30103,1,1.00000002
hylobates pileatus,Endangered,0.60206,0.60206,3,3.00000008
hylomyscus baeri,Endangered,0,0,0,0
hylomyscus grandis,Endangered,0,0,0,0
hylopetes sipora,Endangered,0,0,0,0
hypogeomys antimena,Endangered,0,0,0,0
hypsugo lanzai,Endangered,0,0,0,0
inia geoffrensis,Endangered,0,0,0,0
iomys sipora,Endangered,0,0,0,0
kadarsanomys sodyi,Endangered,0,0,0,0
kerivoula africana,Endangered,0,0,0,0
kerivoula agnella,Endangered,0,0,0,0
kobus megaceros,Endangered,0.4771213,0,2,0
lamottemys okuensis,Endangered,0,0,0,0
latidens salimalii,Endangered,0,0,0,0
lemur catta,Endangered,0.69897,0.60206,4,3.00000008
leontopithecus chrysomelas,Endangered,0.4771213,0.4771213,2,2.000000313
leontopithecus chrysopygus,Endangered,0,0,0,0
leontopithecus rosalia,Endangered,0.4771213,0.4771213,2,2.000000313
leopardus jacobita,Endangered,0,0,0,0
lepilemur aeeclis,Endangered,0,0,0,0
lepilemur ankaranensis,Endangered,0,0,0,0
lepilemur betsileo,Endangered,0,0,0,0
lepilemur dorsalis,Endangered,0,0,0,0
lepilemur edwardsi,Endangered,0.30103,0.30103,1,1.00000002
lepilemur fleuretae,Endangered,0,0,0,0
lepilemur hubbardorum,Endangered,0,0,0,0
lepilemur leucopus,Endangered,0,0,0,0
lepilemur microdon,Endangered,0,0,0,0
lepilemur milanoii,Endangered,0,0,0,0
lepilemur otto,Endangered,0,0,0,0
lepilemur petteri,Endangered,0,0,0,0
lepilemur randrianasoloi,Endangered,0,0,0,0
lepilemur scottorum,Endangered,0,0,0,0
lepilemur wrightae,Endangered,0,0,0,0
leptonycteris nivalis,Endangered,0.30103,0.30103,1,1.00000002
lepus flavigularis,Endangered,0,0,0,0
lepus hainanus,Endangered,0,0,0,0
lonchophylla bokermanni,Endangered,0,0,0,0
lonchophylla dekeyseri,Endangered,0,0,0,0
lonchorhina fernandezi,Endangered,0,0,0,0
lontra felina,Endangered,0,0,0,0
lontra provocax,Endangered,0,0,0,0
lophuromys chercherensis,Endangered,0,0,0,0
lophuromys dieterleni,Endangered,0,0,0,0
lophuromys pseudosikapusi,Endangered,0,0,0,0
loris tardigradus,Endangered,0,0,0,0
loxodonta africana,Endangered,1.20412,0.90309,15,7.00000024
lutra sumatrana,Endangered,0,0,0,0
lycalopex fulvipes,Endangered,0,0,0,0
lycaon pictus,Endangered,1.1139434,0.90309,12,7.00000024
lynx pardinus,Endangered,0.95542425,0.30103,8,1.00000002
macaca maura,Endangered,0.4771213,0.4771213,2,2.000000313
macaca munzala,Endangered,0.30103,0.30103,1,1.00000002
macaca siberu,Endangered,0,0,0,0
macaca silenus,Endangered,0.4771213,0.4771213,2,2.000000313
macaca sinica,Endangered,0.30103,0.30103,1,1.00000002
macaca sylvanus,Endangered,1.079181,1.041393,11,10.00000797
macrotarsomys ingens,Endangered,0,0,0,0
mallomys gunung,Endangered,0,0,0,0
mandrillus leucophaeus,Endangered,0.30103,0.84509804,1,6
manis crassicaudata,Endangered,0,0,0,0
margaretamys christinae,Endangered,0,0,0,0
marmota sibirica,Endangered,0,0,0,0
maxomys wattsi,Endangered,0,0,0,0
megadontomys cryophilus,Endangered,0,0,0,0
megadontomys nelsoni,Endangered,0.30103,0.30103,1,1.00000002
megadontomys thomasi,Endangered,0,0,0,0
melogale everetti,Endangered,0,0,0,0
melomys aerosus,Endangered,0,0,0,0
melomys bannisteri,Endangered,0,0,0,0
melomys caurinus,Endangered,0,0,0,0
melomys fraterculus,Endangered,0,0,0,0
melomys matambuai,Endangered,0,0,0,0
melomys talaudium,Endangered,0,0,0,0
meriones dahli,Endangered,0,0,0,0
mesocapromys auritus,Endangered,0,0,0,0
mesoplodon perrini,Endangered,0,0,0,0
microakodontomys transitorius,Endangered,0,0,0,0
microcebus bongolavensis,Endangered,0,0,0,0
microcebus ganzhorni,Endangered,0,0,0,0
microcebus jollyae,Endangered,0,0,0,0
microcebus macarthurii,Endangered,0,0,0,0
microcebus mamiratra,Endangered,0,0,0,0
microcebus margotmarshae,Endangered,0,0,0,0
microcebus mittermeieri,Endangered,0,0,0,0
microcebus sambiranensis,Endangered,0,0,0,0
microcebus simmonsi,Endangered,0,0,0,0
microcebus tanosi,Endangered,0,0,0,0
microgale jenkinsae,Endangered,0,0,0,0
microgale jobihely,Endangered,0,0,0,0
microtus oaxacensis,Endangered,0,0,0,0
microtus umbrosus,Endangered,0,0,0,0
millardia kondana,Endangered,0,0,0,0
mindomys hammondi,Endangered,0,0,0,0
miniopterus fuscus,Endangered,0.30103,0,1,0
miniopterus robustior,Endangered,0,0,0,0
mirza coquereli,Endangered,0,0,0,0
mogera etigo,Endangered,0,0,0,0
molossops aequatorianus,Endangered,0,0,0,0
monachus monachus,Endangered,0.30103,0,1,0
mormopterus acetabulosus,Endangered,0,0,0,0
moschus anhuiensis,Endangered,0,0,0,0
moschus berezovskii,Endangered,0,0,0,0
moschus chrysogaster,Endangered,0.30103,0,1,0
moschus cupreus,Endangered,0,0,0,0
moschus fuscus,Endangered,0,0,0,0
moschus leucogaster,Endangered,0,0,0,0
mungotictis decemlineata,Endangered,0,0,0,0
murina harpioloides,Endangered,0,0,0,0
murina ryukyuana,Endangered,0,0,0,0
mus famulus,Endangered,0,0,0,0
mus fernandoni,Endangered,0,0,0,0
mustela nigripes,Endangered,0.60206,0.4771213,3,2.000000313
myonycteris brachycephala,Endangered,0,0,0,0
myosorex blarina,Endangered,0,0,0,0
myosorex geata,Endangered,0,0,0,0
myosorex gnoskei,Endangered,0,0,0,0
myosorex kihaulei,Endangered,0,0,0,0
myosorex longicaudatus,Endangered,0,0,0,0
myosorex rumpii,Endangered,0,0,0,0
myotis atacamensis,Endangered,0,0,0,0
myotis findleyi,Endangered,0,0,0,0
myotis leibii,Endangered,0.30103,0.30103,1,1.00000002
myotis lucifugus,Endangered,0.90309,0.7781513,7,5.000000685
myotis peninsularis,Endangered,0,0,0,0
myotis planiceps,Endangered,0,0,0,0
myotis pruinosus,Endangered,0,0,0,0
myrmecobius fasciatus,Endangered,0,0,0,0
nasalis larvatus,Endangered,0.30103,0.30103,1,1.00000002
nasuella meridensis,Endangered,0,0,0,0
neamblysomus gunningi,Endangered,0,0,0,0
neamblysomus julianae,Endangered,0,0,0,0
nelsonia goldmani,Endangered,0,0,0,0
neohylomys hainanensis,Endangered,0,0,0,0
neomicroxus latebricola,Endangered,0,0,0,0
neomonachus schauinslandi,Endangered,0.84509804,0.69897,6,3.99999995
neophoca cinerea,Endangered,0,0,0,0
neophocaena asiaeorientalis,Endangered,0.30103,0.30103,1,1.00000002
neopteryx frosti,Endangered,0,0,0,0
neoromicia roseveari,Endangered,0,0,0,0
neotamias palmeri,Endangered,0,0,0,0
nesokia bunnii,Endangered,0,0,0,0
nesolagus timminsi,Endangered,0,0,0,0
nesomys lambertoni,Endangered,0,0,0,0
nesoromys ceramicus,Endangered,0,0,0,0
nilgiritragus hylocrius,Endangered,0,0,0,0
niviventer hinpoon,Endangered,0,0,0,0
nomascus annamensis,Endangered,0,0,0,0
nomascus gabriellae,Endangered,0.30103,0.30103,1,1.00000002
notomys aquilo,Endangered,0,0,0,0
notopteris neocaledonica,Endangered,0,0,0,0
nyctalus furvus,Endangered,0,0,0,0
nycticebus bengalensis,Endangered,0,0,0,0
nycticebus coucang,Endangered,0.30103,0.30103,1,1.00000002
nycticebus hilleri,Endangered,0,0,0,0
nycticebus pygmaeus,Endangered,0.30103,0,1,0
nyctimene rabori,Endangered,0,0,0,0
ochotona argentata,Endangered,0,0,0,0
ochotona hoffmanni,Endangered,0,0,0,0
ochotona iliensis,Endangered,0,0,0,0
ochotona koslowi,Endangered,0,0,0,0
okapia johnstoni,Endangered,0.4771213,0.4771213,2,2.000000313
orcaella brevirostris,Endangered,0,0,0,0
oryctolagus cuniculus,Endangered,1.54068,1.278736,34,17.99922999
oryx beisa,Endangered,0.60206,0,3,0
oryzomys gorgasi,Endangered,0,0,0,0
otomys barbouri,Endangered,0,0,0,0
otomys burtoni,Endangered,0,0,0,0
oxymycterus hucucha,Endangered,0,0,0,0
pan paniscus,Endangered,1.079181,1.079181,11,10.9999932
pan troglodytes,Endangered,1.897627,1.755875,78,56.00001894
panthera tigris,Endangered,1.255273,1.041393,17,10.00000797
paragalago rondoensis,Endangered,0,0,0,0
paraleptomys rufilatus,Endangered,0,0,0,0
paramelomys gressitti,Endangered,0,0,0,0
parantechinus apicalis,Endangered,0,0,0,0
paraxerus vincenti,Endangered,0,0,0,0
paulamys naso,Endangered,0,0,0,0
pentalagus furnessi,Endangered,0,0,0,0
peromyscus madrensis,Endangered,0,0,0,0
peromyscus melanocarpus,Endangered,0,0,0,0
peromyscus melanurus,Endangered,0,0,0,0
peromyscus ochraventer,Endangered,0,0,0,0
peromyscus sejugis,Endangered,0,0,0,0
peromyscus winkelmanni,Endangered,0,0,0,0
peroryctes broadbenti,Endangered,0,0,0,0
petaurus gracilis,Endangered,0,0,0,0
petrogale coenensis,Endangered,0,0,0,0
petrogale concinna,Endangered,0,0,0,0
petrogale persephone,Endangered,0,0,0,0
phaenomys ferrugineus,Endangered,0,0,0,0
phalanger alexandrae,Endangered,0,0,0,0
phalanger lullulae,Endangered,0,0,0,0
phaner electromontis,Endangered,0,0,0,0
phaner furcifer,Endangered,0,0,0,0
phaner pallescens,Endangered,0,0,0,0
phaner parienti,Endangered,0,0,0,0
phataginus tricuspis,Endangered,0,0,0,0
phocarctos hookeri,Endangered,0.30103,0,1,0
phyllomys brasiliensis,Endangered,0,0,0,0
phyllomys lundi,Endangered,0,0,0,0
phyllomys thomasi,Endangered,0,0,0,0
phyllotis definitus,Endangered,0,0,0,0
piliocolobus badius,Endangered,0.95542425,0.7781513,8,5.000000685
piliocolobus bouvieri,Endangered,0,0,0,0
piliocolobus foai,Endangered,0,0,0,0
piliocolobus kirkii,Endangered,0,0,0,0
piliocolobus langi,Endangered,0,0,0,0
piliocolobus lulindicus,Endangered,0,0,0,0
piliocolobus parmentieri,Endangered,0,0,0,0
piliocolobus tephrosceles,Endangered,0.84509804,0.69897,6,3.99999995
plagiodontia aedium,Endangered,0,0,0,0
platanista gangetica,Endangered,0,0,0,0
plecturocebus modestus,Endangered,0,0,0,0
podogymnura aureospinula,Endangered,0,0,0,0
pogonomys fergussoniensis,Endangered,0,0,0,0
porcula salvania,Endangered,0.4771213,0.30103,2,1.00000002
praomys morio,Endangered,0,0,0,0
praomys obscurus,Endangered,0,0,0,0
presbytis canicrus,Endangered,0,0,0,0
presbytis comata,Endangered,0,0,0,0
presbytis melalophos,Endangered,0.30103,0.30103,1,1.00000002
presbytis sabana,Endangered,0,0,0,0
presbytis siberu,Endangered,0,0,0,0
presbytis sumatranus,Endangered,0,0,0,0
prionailurus planiceps,Endangered,0.30103,0,1,0
procapra przewalskii,Endangered,0.30103,0.30103,1,1.00000002
propithecus edwardsi,Endangered,0,0,0,0
prosciurillus weberi,Endangered,0,0,0,0
pteralopex anceps,Endangered,0,0,0,0
pteralopex atrata,Endangered,0,0,0,0
pteromyscus pulverulentus,Endangered,0,0,0,0
pteronotus paraguanensis,Endangered,0,0,0,0
pteronura brasiliensis,Endangered,0,0,0,0
pteropus aldabrensis,Endangered,0,0,0,0
pteropus conspicillatus,Endangered,0.60206,0.60206,3,3.00000008
pteropus faunulus,Endangered,0,0,0,0
pteropus fundatus,Endangered,0,0,0,0
pteropus mariannus,Endangered,0,0,0,0
pteropus melanopogon,Endangered,0,0,0,0
pteropus molossinus,Endangered,0,0,0,0
pteropus niger,Endangered,0,0,0,0
pteropus nitendiensis,Endangered,0,0,0,0
pteropus pelagicus,Endangered,0,0,0,0
pteropus pselaphon,Endangered,0,0,0,0
pteropus rennelli,Endangered,0,0,0,0
pteropus rodricensis,Endangered,0.30103,0.30103,1,1.00000002
pteropus tuberculatus,Endangered,0,0,0,0
pteropus ualanus,Endangered,0,0,0,0
pusa caspica,Endangered,0.60206,0.60206,3,3.00000008
rattus burrus,Endangered,0,0,0,0
rattus hainaldi,Endangered,0,0,0,0
rattus montanus,Endangered,0,0,0,0
rattus ranjiniae,Endangered,0,0,0,0
rattus simalurensis,Endangered,0,0,0,0
rattus vandeuseni,Endangered,0,0,0,0
redunca fulvorufula,Endangered,0.4771213,0.30103,2.000000313,1.00000002
reithrodontomys bakeri,Endangered,0,0,0,0
reithrodontomys raviventris,Endangered,0,0,0,0
reithrodontomys tenuirostris,Endangered,0,0,0,0
rheomys mexicanus,Endangered,0,0,0,0
rhinolophus belligerator,Endangered,0,0,0,0
rhinolophus cognatus,Endangered,0,0,0,0
rhinolophus guineensis,Endangered,0,0,0,0
rhinolophus kahuzi,Endangered,0,0,0,0
rhinolophus mabuensis,Endangered,0,0,0,0
rhinolophus maclaudi,Endangered,0,0,0,0
rhinolophus montanus,Endangered,0,0,0,0
rhinolophus perditus,Endangered,0,0,0,0
rhinolophus proconsulis,Endangered,0,0,0,0
rhinolophus rex,Endangered,0.4771213,0.30103,2,1.00000002
rhinolophus ruwenzorii,Endangered,0,0,0,0
rhinolophus willardi,Endangered,0,0,0,0
rhinolophus ziama,Endangered,0,0,0,0
rhinopithecus bieti,Endangered,0,0,0,0
rhinopithecus brelichi,Endangered,0,0,0,0
rhinopithecus roxellana,Endangered,0.60206,0.4771213,3,2.000000313
rhinopoma hadramauticum,Endangered,0,0,0,0
rhogeessa genowaysi,Endangered,0,0,0,0
rhynchocyon chrysopygus,Endangered,0,0,0,0
rhynchomeles prattorum,Endangered,0,0,0,0
romerolagus diazi,Endangered,0,0,0,0
rucervus eldii,Endangered,0,0,0,0
rungwecebus kipunji,Endangered,0,0,0,0
rusa alfredi,Endangered,0.60206,0,3,0
saccopteryx antioquensis,Endangered,0,0,0,0
saimiri oerstedii,Endangered,0.30103,0.30103,1,1.00000002
saimiri vanzolinii,Endangered,0,0,0,0
sapajus flavius,Endangered,0,0,0,0
sapajus robustus,Endangered,0,0,0,0
sarcophilus harrisii,Endangered,0.60206,0.4771213,3,2.000000313
semnopithecus ajax,Endangered,0,0,0,0
semnopithecus vetulus,Endangered,0,0,0,0
sicista kazbegica,Endangered,0,0,0,0
sicista trizona,Endangered,0,0,0,0
smutsia gigantea,Endangered,0,0,0,0
solisorex pearsoni,Endangered,0,0,0,0
solomys salebrosus,Endangered,0,0,0,0
solomys sapientis,Endangered,0,0,0,0
sorex pribilofensis,Endangered,0,0,0,0
sotalia fluviatilis,Endangered,0,0,0,0
sousa plumbea,Endangered,0,0,0,0
spalax antiquus,Endangered,0,0,0,0
spalax arenarius,Endangered,0,0,0,0
spermophilus citellus,Endangered,0.4771213,0.4771213,2,2.000000313
sturnira nana,Endangered,0,0,0,0
styloctenium mindorensis,Endangered,0,0,0,0
suncus aequatorius,Endangered,0,0,0,0
suncus dayi,Endangered,0,0,0,0
suncus fellowesgordoni,Endangered,0,0,0,0
suncus mertensi,Endangered,0,0,0,0
suncus zeylanicus,Endangered,0,0,0,0
sus verrucosus,Endangered,0.30103,0.30103,1,1.00000002
sylvilagus brasiliensis,Endangered,0.60206,0.4771213,3,2.000000313
sylvilagus cognatus,Endangered,0,0,0,0
sylvilagus graysoni,Endangered,0,0,0,0
sylvisorex morio,Endangered,0,0,0,0
symphalangus syndactylus,Endangered,0.4771213,0.4771213,2,2.000000313
tachyoryctes macrocephalus,Endangered,0,0,0,0
tadarida latouchei,Endangered,0,0,0,0
tamiasciurus mearnsi,Endangered,0,0,0,0
taphozous hildegardeae,Endangered,0,0,0,0
tapirus bairdii,Endangered,0,0,0,0
tapirus indicus,Endangered,0.30103,0.30103,1,1.00000002
tapirus pinchaque,Endangered,0,0,0,0
tarsius niemitzi,Endangered,0,0,0,0
tarsius pelengensis,Endangered,0,0,0,0
tarsius pumilus,Endangered,0,0,0,0
tarsius sangirensis,Endangered,0,0,0,0
thomasomys rosalinda,Endangered,0,0,0,0
thylogale calabyi,Endangered,0,0,0,0
thylogale lanatus,Endangered,0,0,0,0
tokudaia osimensis,Endangered,0,0,0,0
tokudaia tokunoshimensis,Endangered,0,0,0,0
tomopeas ravus,Endangered,0,0,0,0
trachypithecus francoisi,Endangered,0.30103,0.30103,1,1.00000002
trachypithecus geei,Endangered,0,0,0,0
trachypithecus germaini,Endangered,0,0,0,0
trachypithecus hatinhensis,Endangered,0,0,0,0
trachypithecus laotum,Endangered,0,0,0,0
trachypithecus margarita,Endangered,0,0,0,0
trachypithecus obscurus,Endangered,0.60206,0.60206,3,3.00000008
trachypithecus phayrei,Endangered,0.30103,0.30103,1,1.00000002
trachypithecus shortridgei,Endangered,0,0,0,0
tragelaphus buxtoni,Endangered,0,0,0,0
tragulus nigricans,Endangered,0,0,0,0
trinomys moojeni,Endangered,0,0,0,0
trinomys yonenagae,Endangered,0,0,0,0
tupaia nicobarica,Endangered,0,0,0,0
urocitellus brunneus,Endangered,0,0,0,0
uromys rex,Endangered,0,0,0,0
vandeleuria nilagirica,Endangered,0,0,0,0
vandeleuria nolthenii,Endangered,0,0,0,0
viverra megaspila,Endangered,0,0,0,0
voalavo antsahabensis,Endangered,0,0,0,0
wilfredomys oenax,Endangered,0,0,0,0
xenomys nelsoni,Endangered,0,0,0,0
xerospermophilus perotensis,Endangered,0,0,0,0
zalophus wollebaeki,Endangered,0.30103,0.30103,1,1.00000002
zygogeomys trichopus,Endangered,0,0,0,0
bettongia anhydra,Extinct,0,0,0,0
bettongia pusilla,Extinct,0,0,0,0
boromys offella,Extinct,0,0,0,0
boromys torrei,Extinct,0,0,0,0
bos primigenius,Extinct,0.69897,0.60206,3.99999995,3.00000008
brotomys voratus,Extinct,0,0,0,0
caloprymnus campestris,Extinct,0,0,0,0
chaeropus ecaudatus,Extinct,0,0,0,0
conilurus albipes,Extinct,0,0,0,0
conilurus capricornensis,Extinct,0,0,0,0
coryphomys buehleri,Extinct,0,0,0,0
cryptonanus ignitus,Extinct,0,0,0,0
cryptoprocta spelea,Extinct,0,0,0,0
dusicyon australis,Extinct,0,0,0,0
dusicyon avus,Extinct,0,0,0,0
gazella bilkis,Extinct,0,0,0,0
gazella saudiya,Extinct,0,0,0,0
geocapromys columbianus,Extinct,0,0,0,0
geocapromys thoracatus,Extinct,0,0,0,0
heteropsomys insulans,Extinct,0,0,0,0
hexolobodon phenax,Extinct,0,0,0,0
hippopotamus lemerlei,Extinct,0,0,0,0
hippopotamus madagascariensis,Extinct,0,0,0,0
hippotragus leucophaeus,Extinct,0,0,0,0
hydrodamalis gigas,Extinct,0,0,0,0
isolobodon montanus,Extinct,0,0,0,0
isolobodon portoricensis,Extinct,0,0,0,0
juscelinomys candango,Extinct,0,0,0,0
lagorchestes asomatus,Extinct,0,0,0,0
lagorchestes leporides,Extinct,0,0,0,0
lagostomus crassus,Extinct,0,0,0,0
leporillus apicalis,Extinct,0,0,0,0
macropus greyi,Extinct,0,0,0,0
macrotis leucura,Extinct,0,0,0,0
megalomys desmarestii,Extinct,0,0,0,0
megalomys luciae,Extinct,0,0,0,0
megaoryzomys curioi,Extinct,0,0,0,0
melomys rubicola,Extinct,0,0,0,0
neomonachus tropicalis,Extinct,0,0,0,0
neovison macrodon,Extinct,0,0,0,0
nesophontes edithae,Extinct,0,0,0,0
nesophontes hypomicrus,Extinct,0,0,0,0
nesophontes major,Extinct,0,0,0,0
nesophontes micrus,Extinct,0,0,0,0
nesophontes paramicrus,Extinct,0,0,0,0
nesophontes zamicrus,Extinct,0,0,0,0
nesoryzomys darwini,Extinct,0,0,0,0
nesoryzomys indefessus,Extinct,0,0,0,0
noronhomys vespuccii,Extinct,0,0,0,0
notomys amplus,Extinct,0,0,0,0
notomys longicaudatus,Extinct,0,0,0,0
notomys macrotis,Extinct,0,0,0,0
notomys mordax,Extinct,0,0,0,0
notomys robustus,Extinct,0,0,0,0
nyctophilus howensis,Extinct,0,0,0,0
oligoryzomys victus,Extinct,0,0,0,0
onychogalea lunata,Extinct,0,0,0,0
oryzomys antillarum,Extinct,0,0,0,0
oryzomys nelsoni,Extinct,0,0,0,0
palaeopropithecus ingens,Extinct,0,0,0,0
pennatomys nivalis,Extinct,0,0,0,0
perameles eremiana,Extinct,0,0,0,0
peromyscus pembertoni,Extinct,0,0,0,0
pipistrellus murrayi,Extinct,0,0,0,0
pipistrellus sturdeei,Extinct,0,0,0,0
plagiodontia ipnaeum,Extinct,0,0,0,0
potorous platyops,Extinct,0,0,0,0
prolagus sardus,Extinct,0,0,0,0
pseudomys auritus,Extinct,0,0,0,0
pseudomys glaucus,Extinct,0,0,0,0
pseudomys gouldii,Extinct,0,0,0,0
pteropus allenorum,Extinct,0,0,0,0
pteropus brunneus,Extinct,0,0,0,0
pteropus coxi,Extinct,0,0,0,0
pteropus pilosus,Extinct,0,0,0,0
pteropus subniger,Extinct,0,0,0,0
pteropus tokudae,Extinct,0,0,0,0
rattus macleari,Extinct,0,0,0,0
rattus nativitatis,Extinct,0,0,0,0
rucervus schomburgki,Extinct,0,0,0,0
solenodon marcanoi,Extinct,0,0,0,0
sus bucculentus,Extinct,0,0,0,0
thylacinus cynocephalus,Extinct,0,0,0,0
xenothrix mcgregori,Extinct,0,0,0,0
zalophus japonicus,Extinct,0,0,0,0
elaphurus davidianus,Extinct in the Wild,0.60206,0.30103,3.00000008,1.00000002
oryx dammah,Extinct in the Wild,0.69897,0.4771213,3.99999995,2.000000313
bos domesticus,Least Concern,0,0,0,0
bos frontalis,Least Concern,0.95424,0.47712,8,2
bos grunniens,Least Concern,1.41497,1.07918,25,11
bos indicus,Least Concern,1.27875,1.0792,18,11
bos taurus,Least Concern,2.2695,1.94448,185,87
bos taurus x bison bison,Least Concern,0.30103,0.30103,1,1
bubalus bubalis,Least Concern,1.72428,1.4314,52,26
bubalus carabenensis,Least Concern,0.47712,0.47712,2,2
camelus dromedarius,Least Concern,1.6721,1.43136,46,26
canis familiaris,Least Concern,0,0,0,0
capra hircus,Least Concern,1.9542451,1.74036269,89,54
