Host,redlistCategory,NVirion,NZoon,Nvirion,Nzoon
mystacina robusta,Critically Endangered,0,0,0,0
nanger dama,Critically Endangered,0,0,0,0
natalus jamaicensis,Critically Endangered,0,0,0,0
neotoma nelsoni,Critically Endangered,0,0,0,0
nilopegamys plumbeus,Critically Endangered,0,0,0,0
nomascus concolor,Critically Endangered,0.30103,0.30103,1,1
nomascus hainanus,Critically Endangered,0,0,0,0
nomascus leucogenys,Critically Endangered,0.69897,0.69897,4,4
nomascus nasutus,Critically Endangered,0,0,0,0
nomascus siki,Critically Endangered,0,0,0,0
nycticebus bancanus,Critically Endangered,0,0,0,0
nycticebus javanicus,Critically Endangered,0,0,0,0
nyctophilus nebulosus,Critically Endangered,0,0,0,0
octodon pacificus,Critically Endangered,0,0,0,0
peromyscus bullatus,Critically Endangered,0,0,0,0
peromyscus caniceps,Critically Endangered,0,0,0,0
peromyscus dickeyi,Critically Endangered,0,0,0,0
peromyscus guardia,Critically Endangered,0,0,0,0
peromyscus interparietalis,Critically Endangered,0,0,0,0
peromyscus mayensis,Critically Endangered,0,0,0,0
peromyscus mekisturus,Critically Endangered,0,0,0,0
peromyscus pseudocrinitus,Critically Endangered,0,0,0,0
peromyscus slevini,Critically Endangered,0,0,0,0
peromyscus stephani,Critically Endangered,0,0,0,0
petaurus abidi,Critically Endangered,0,0,0,0
phalanger matanim,Critically Endangered,0,0,0,0
pharotis imogene,Critically Endangered,0,0,0,0
phocoena sinus,Critically Endangered,0,0,0,0
phyllomys mantiqueirensis,Critically Endangered,0,0,0,0
phyllomys unicolor,Critically Endangered,0,0,0,0
phyllonycteris aphylla,Critically Endangered,0,0,0,0
piliocolobus epieni,Critically Endangered,0,0,0,0
piliocolobus pennantii,Critically Endangered,0,0,0,0
piliocolobus preussi,Critically Endangered,0,0,0,0
piliocolobus rufomitratus,Critically Endangered,0.60206,0.30103,3,1
piliocolobus waldroni,Critically Endangered,0,0,0,0
plecturocebus caquetensis,Critically Endangered,0,0,0,0
plecturocebus grovesi,Critically Endangered,0,0,0,0
plecturocebus oenanthe,Critically Endangered,0,0,0,0
plecturocebus olallae,Critically Endangered,0,0,0,0
pongo abelii,Critically Endangered,0.60206,0.4771213,3,2
pongo pygmaeus,Critically Endangered,1.431364,1.361728,26,22
pongo tapanuliensis,Critically Endangered,0,0,0,0
potorous gilbertii,Critically Endangered,0,0,0,0
presbytis chrysomelas,Critically Endangered,0,0,0,0
presbytis potenziani,Critically Endangered,0,0,0,0
procyon pygmaeus,Critically Endangered,0,0,0,0
prolemur simus,Critically Endangered,0.30103,0.30103,1,1
propithecus candidus,Critically Endangered,0,0,0,0
propithecus coquereli,Critically Endangered,0.30103,0.30103,1,1
propithecus coronatus,Critically Endangered,0,0,0,0
propithecus deckenii,Critically Endangered,0,0,0,0
propithecus diadema,Critically Endangered,0.30103,0.30103,1,1
propithecus perrieri,Critically Endangered,0,0,0,0
propithecus tattersalli,Critically Endangered,0,0,0,0
propithecus verreauxi,Critically Endangered,0.30103,0.30103,1,1
pseudocheirus occidentalis,Critically Endangered,0,0,0,0
pseudoryx nghetinhensis,Critically Endangered,0,0,0,0
pteralopex flanneryi,Critically Endangered,0,0,0,0
pteralopex pulchra,Critically Endangered,0,0,0,0
pteropus aruensis,Critically Endangered,0,0,0,0
pteropus howensis,Critically Endangered,0,0,0,0
pteropus livingstonii,Critically Endangered,0,0,0,0
pygathrix cinerea,Critically Endangered,0,0,0,0
pygathrix nemaeus,Critically Endangered,0.30103,0.30103,1,1
pygathrix nigripes,Critically Endangered,0,0,0,0
reithrodontomys spectabilis,Critically Endangered,0,0,0,0
rhinoceros sondaicus,Critically Endangered,0,0,0,0
rhinolophus hilli,Critically Endangered,0,0,0,0
rhinopithecus avunculus,Critically Endangered,0,0,0,0
rhinopithecus strykeri,Critically Endangered,0,0,0,0
saguinus bicolor,Critically Endangered,0,0,0,0
saguinus oedipus,Critically Endangered,0.84509804,0.7781513,6,5
saiga tatarica,Critically Endangered,0.4771213,0.4771213,2,2
santamartamys rufodorsalis,Critically Endangered,0,0,0,0
sapajus xanthosternos,Critically Endangered,0.60206,0.30103,3,1
sicista armenica,Critically Endangered,0,0,0,0
simias concolor,Critically Endangered,0,0,0,0
solomys ponceleti,Critically Endangered,0,0,0,0
sorex sclateri,Critically Endangered,0,0,0,0
sorex stizodon,Critically Endangered,0,0,0,0
sousa teuszii,Critically Endangered,0,0,0,0
spalax istricus,Critically Endangered,0,0,0,0
spilocuscus rufoniger,Critically Endangered,0,0,0,0
spilocuscus wilsoni,Critically Endangered,0,0,0,0
sus cebifrons,Critically Endangered,0,0,0,0
sylvilagus mansuetus,Critically Endangered,0,0,0,0
tarsius tumpara,Critically Endangered,0,0,0,0
tokudaia muenninki,Critically Endangered,0,0,0,0
trachypithecus delacouri,Critically Endangered,0,0,0,0
trachypithecus leucocephalus,Critically Endangered,0,0,0,0
trachypithecus poliocephalus,Critically Endangered,0,0,0,0
tylomys bullaris,Critically Endangered,0,0,0,0
tylomys tumbalensis,Critically Endangered,0,0,0,0
tympanoctomys aureus,Critically Endangered,0,0,0,0
tympanoctomys loschalchalerosorum,Critically Endangered,0,0,0,0
uromys boeadii,Critically Endangered,0,0,0,0
uromys emmae,Critically Endangered,0,0,0,0
uromys imperator,Critically Endangered,0,0,0,0
uromys porculus,Critically Endangered,0,0,0,0
uromys vika,Critically Endangered,0,0,0,0
varecia rubra,Critically Endangered,0,0,0,0
varecia variegata,Critically Endangered,0.4771213,0.4771213,2,2
viverra civettina,Critically Endangered,0,0,0,0
zaglossus attenboroughi,Critically Endangered,0,0,0,0
zaglossus bruijnii,Critically Endangered,0,0,0,0
zyzomys palatalis,Critically Endangered,0,0,0,0
zyzomys pedunculatus,Critically Endangered,0,0,0,0
abditomys latidens,Data Deficient,0,0,0,0
abrawayaomys chebezi,Data Deficient,0,0,0,0
abrocoma budini,Data Deficient,0,0,0,0
abrocoma famatina,Data Deficient,0,0,0,0
abrocoma uspallata,Data Deficient,0,0,0,0
abrocoma vaccarum,Data Deficient,0,0,0,0
acomys cilicicus,Data Deficient,0,0,0,0
acomys minous,Data Deficient,0,0,0,0
acomys nesiotes,Data Deficient,0,0,0,0
aconaemys porteri,Data Deficient,0,0,0,0
aconaemys sagei,Data Deficient,0,0,0,0
aeromys tephromelas,Data Deficient,0,0,0,0
aethomys silindensis,Data Deficient,0,0,0,0
aethomys stannarius,Data Deficient,0,0,0,0
akodon caenosus,Data Deficient,0,0,0,0
akodon lindberghi,Data Deficient,0,0,0,0
akodon mystax,Data Deficient,0,0,0,0
akodon pervalens,Data Deficient,0,0,0,0
akodon philipmyersi,Data Deficient,0,0,0,0
akodon sanctipaulensis,Data Deficient,0,0,0,0
akodon varius,Data Deficient,0.30103,0.30103,1,1
allactaga firouzi,Data Deficient,0,0,0,0
allactaga tetradactyla,Data Deficient,0,0,0,0
alticola albicaudus,Data Deficient,0,0,0,0
ammodillus imbellis,Data Deficient,0,0,0,0
amphinectomys savamis,Data Deficient,0,0,0,0
anomalurus pelii,Data Deficient,0,0,0,0
anonymomys mindorensis,Data Deficient,0,0,0,0
anoura cadenai,Data Deficient,0,0,0,0
anoura fistulata,Data Deficient,0,0,0,0
anourosorex schmidi,Data Deficient,0,0,0,0
aotus jorgehernandezi,Data Deficient,0,0,0,0
apodemus avicennicus,Data Deficient,0,0,0,0
apomys brownorum,Data Deficient,0,0,0,0
apomys littoralis,Data Deficient,0,0,0,0
archboldomys maximus,Data Deficient,0,0,0,0
artibeus inopinatus,Data Deficient,0,0,0,0
artibeus schwartzi,Data Deficient,0,0,0,0
asellia arabica,Data Deficient,0,0,0,0
asellia italosomalica,Data Deficient,0,0,0,0
baiyankamys habbema,Data Deficient,0,0,0,0
balaenoptera omurai,Data Deficient,0,0,0,0
barbastella beijingensis,Data Deficient,0,0,0,0
batomys dentatus,Data Deficient,0,0,0,0
batomys hamiguitan,Data Deficient,0,0,0,0
belomys pearsonii,Data Deficient,0,0,0,0
berylmys mackenziei,Data Deficient,0,0,0,0
berylmys manipulus,Data Deficient,0,0,0,0
biswamoyopterus laoensis,Data Deficient,0,0,0,0
brassomys albidens,Data Deficient,0,0,0,0
brucepattersonius griserufescens,Data Deficient,0,0,0,0
brucepattersonius guarani,Data Deficient,0,0,0,0
brucepattersonius igniventris,Data Deficient,0,0,0,0
brucepattersonius misionensis,Data Deficient,0,0,0,0
brucepattersonius paradisus,Data Deficient,0,0,0,0
brucepattersonius soricinus,Data Deficient,0,0,0,0
bunomys karokophilus,Data Deficient,0,0,0,0
bunomys torajae,Data Deficient,0,0,0,0
